,Unnamed: 0,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus,board_name
55,55,e4c58238,6,full,easy,TRUE,TRUE,257824,76689,20,4,1.55448E+12,3Z3ZLGNNSJ1QP86SLPA8ZUGGBCB3QD,A3ACUGH5N9VQO2,0,6_full_easy
56,56,27e58321,10,pruned,hard,FALSE,FALSE,40472,44998,54,0,1.55448E+12,3A0EX8ZRN9V4151RRS68UZHUYD4YB1,A1D2K63U3LCO3F,0,10_pruned_hard
57,57,3cf580c7,6,pruned,easy,FALSE,FALSE,513613,83585,109,0,1.55448E+12,340UGXU9DZ82TAFSM80JSQ5O5H9VU6,AVJUIF9QHQRY8,0,6_pruned_easy
58,58,3db583aa,10,pruned,medium,TRUE,FALSE,87367,77652,6,3,1.55448E+12,3FTOP5WARGVDMT3I7C8G0V6NU5Z0JO,A3G9BVVZ14580D,0,10_pruned_medium
59,59,33c5818d,6,full,easy,FALSE,FALSE,613383,166315,59,0,1.55448E+12,3TPZPLC3M1J5PW5DLCVJZPQ66GP3PM,AIK9W79I4TPJW,0,6_full_easy
60,60,19d58478,10,full,hard,TRUE,FALSE,40536,48876,12,6,1.55448E+12,3NG53N1RLWQRQTBJXTQFQ6YHM2HP80,A95RHRMLHT89M,0,10_full_hard
61,61,ebb5828a,10,full,easy,TRUE,TRUE,560462,36367,60,4,1.55448E+12,3GM6G9ZBKO443A6U8B9I0Y09VARMTQ,AAXX5LDVJ32F8,0,10_full_easy
62,62,fbb58502,6,pruned,easy,FALSE,FALSE,38140,45604,3,0,1.55448E+12,3HMIGG0U4MDLZ73KOGMY3XRTQ7K8YD,A3HNEYFOIJWPH1,0,6_pruned_easy
63,63,93f5811e,6,pruned,easy,FALSE,FALSE,349374,51357,10,0,1.55448E+12,3WRFBPLXRBV5MBT05XIRV0LB61O3NQ,A1X8YRYS8MBDWX,0,6_pruned_easy
64,64,c5d58198,10,full,medium,FALSE,FALSE,356191,69419,90,0,1.55448E+12,3II4UPYCOKEO708PEEGKC32S2PZQDX,AVU225KQH0N7O,0,10_full_medium
65,65,aeb5862d,10,full,hard,FALSE,FALSE,91299,46436,2,0,1.55448E+12,3TEM0PF1Q640J73QXGM5XXBAPL2D0N,A36AB7LJRSNHQM,0,10_full_hard
66,66,1ba58665,6,pruned,easy,FALSE,FALSE,32472,17856,4,0,1.55448E+12,3QHK8ZVMINPK16US8DHI0RFYPY1LBX,A2NXHJ905WLGAA,0,6_pruned_easy
67,67,56b584cf,10,pruned,hard,TRUE,TRUE,270124,130646,17,26,1.55448E+12,39O5D9O87UZMV7W9G79DFPRZ7XA3C8,A1ZHVMG4DXPLHL,0,10_pruned_hard
68,68,f8d586d5,10,pruned,easy,TRUE,TRUE,173180,26953,6,3,1.55448E+12,3P529IW9KZSAEN68DF3EJH6J4WTFL9,A3QA0Y16Q4273V,0,10_pruned_easy
69,69,23a58279,10,pruned,easy,TRUE,TRUE,258566,79843,8,3,1.55448E+12,33L7PJKHCH5PIL4QEAZZVGZEB528TO,AFCMHQWCV6N02,0,10_pruned_easy
70,70,72d587f7,10,full,hard,FALSE,FALSE,130486,45295,14,0,1.55448E+12,33L7PJKHCH5PIL4QEAZZVGZEB51T88,ALYR5CI2SM2JC,0,10_full_hard
71,71,99b587e6,10,pruned,hard,TRUE,TRUE,93297,38996,10,4,1.55448E+12,39JEC7537V867GYS0HFJYKJIYH3CVE,A3HKMZ9ML9EPUY,0,10_pruned_hard
72,72,4fa58511,10,pruned,medium,TRUE,TRUE,519798,129906,54,34,1.55448E+12,3ZV9H2YQQEEV952EXY9ERJY2ZDRW39,A2CAVHHY7X7YBP,0,10_pruned_medium
73,73,d0a58874,6,full,easy,TRUE,TRUE,189319,38443,17,4,1.55448E+12,3BV8HQ2ZZX8XZBMTFVBKGXDVHLR6AF,A1QA5EWFMNKGTA,0,6_full_easy
74,74,87c5895b,10,pruned,medium,TRUE,FALSE,18604,2023,16,0,1.55448E+12,3NVC2EB65R6ZYAXECZR2CGJIALRY3A,A35565UGJN9V6Q,0,10_pruned_medium
75,75,91f586cc,6,full,easy,FALSE,FALSE,593506,116097,96,0,1.55448E+12,33OOO72IVISRUOU3VMF4X2VX1WMTCE,A17PAE30BGBO1T,0,6_full_easy
76,76,47a58969,6,pruned,easy,TRUE,TRUE,70218,30545,11,3,1.55448E+12,3KAKFY4PGV9D8AI98H5ZQSPUK2U3IA,A2D0QT8HAGV27Z,0,6_pruned_easy
77,77,bad589c5,6,pruned,easy,TRUE,TRUE,87832,30424,14,3,1.55448E+12,39U1BHVTDMY3HOYK2T434ZR3VJJ3T0,ALARJPFSEZGGI,0,6_pruned_easy
78,78,6dd588e6,10,full,medium,FALSE,FALSE,178741,82643,27,0,1.55448E+12,3Y9N9SS8LZIW0Z2NG34OZV9HSXMD3I,A23EEEX9LR9X6Z,0,10_full_medium
79,79,77d58870,10,pruned,medium,TRUE,TRUE,420803,25509,67,3,1.55448E+12,3GNA64GUZFBT3NTWZ8Y1ERE0P81Q5P,A3O0QZQ4V2IXT7,0,10_pruned_medium
80,80,efa589db,10,full,easy,FALSE,FALSE,161295,14469,24,0,1.55448E+12,3ZY8KE4ISKAA1H8B5ZGEIP8Z2W3VQ1,A1PMZUBGXFANCI,0,10_full_easy
81,81,24e58a14,6,full,easy,TRUE,TRUE,410545,40266,55,4,1.55448E+12,3EKVH9QMEZB7FH64C3QJGL4PMJT2D3,A2VXEPC4KG1CWU,0,6_full_easy
