userid,board_size,condition,board_type,solved_correct,validated_correct,timeSolution,timeValidation,actionsSolution,actionsValidation,timestamp
59e1b4a9,10,full,easy,FALSE,FALSE,588042,10789,82,0,1.5621E+12
b3b1b79a,10,pruned,hard,FALSE,FALSE,73662,50310,10,0,1.5621E+12
e0b1b70d,10,full,medium,FALSE,FALSE,119554,117873,8,0,1.5621E+12
92e1b770,10,pruned,hard,TRUE,FALSE,93094,100426,2,7,1.5621E+12
5fa1b8b9,10,full,easy,FALSE,FALSE,97262,14711,8,0,1.5621E+12
33c1b7cd,10,pruned,medium,TRUE,TRUE,481557,18851,54,3,1.5621E+12
68a1b7d8,10,full,hard,FALSE,FALSE,602698,16744,47,0,1.5621E+12
3fa1bb85,10,pruned,hard,TRUE,TRUE,180851,43716,16,4,1.5621E+12
98e1bc02,10,pruned,medium,FALSE,FALSE,69580,16126,14,0,1.5621E+12
63a1bb31,10,pruned,hard,TRUE,FALSE,124545,116436,1,0,1.5621E+12
68e1bb60,10,pruned,easy,FALSE,FALSE,99422,29377,9,0,1.5621E+12
8eb1ba3b,10,pruned,easy,FALSE,FALSE,287380,38563,42,0,1.5621E+12
f0c1bd6a,6,pruned,easy,TRUE,TRUE,49434,25345,2,4,1.5621E+12
21f1bc74,6,pruned,easy,TRUE,TRUE,283103,27388,27,3,1.5621E+12
20e1bd34,10,full,hard,TRUE,TRUE,127103,84595,20,18,1.5621E+12
ecc1bf78,10,full,medium,TRUE,FALSE,80661,103169,16,4,1.5621E+12
a2d1c30b,10,full,easy,FALSE,FALSE,239738,57982,19,0,1.5621E+12
6ad1c45d,10,full,easy,FALSE,FALSE,223045,29064,28,0,1.5621E+12
fda1c679,10,full,medium,FALSE,FALSE,104585,22174,27,0,1.5621E+12
48f1c6a9,10,pruned,easy,TRUE,TRUE,169080,26749,11,3,1.5621E+12
f4f1c2a3,10,full,medium,FALSE,FALSE,587525,119891,15,0,1.5621E+12
faa1cbda,10,full,hard,TRUE,FALSE,23947,34640,1,4,1.5621E+12
c7b1e912,10,full,medium,FALSE,FALSE,54746,36055,19,0,1.56211E+12
7fa28d81,10,full,hard,TRUE,TRUE,32287,45645,1,5,1.56215E+12
fec28d64,10,full,hard,FALSE,FALSE,137671,14328,14,0,1.56215E+12
bda28d31,10,pruned,medium,TRUE,TRUE,193270,49430,47,3,1.56215E+12
e7c28d87,6,full,easy,FALSE,FALSE,383246,23360,36,0,1.56215E+12
54c28d9c,10,full,medium,FALSE,FALSE,197500,75447,3,0,1.56215E+12
edd28ea2,10,full,easy,FALSE,FALSE,86482,25695,4,0,1.56215E+12
8ca28d2c,10,full,hard,TRUE,TRUE,276859,58594,28,5,1.56215E+12
bdb28da4,6,full,easy,FALSE,FALSE,530803,71070,83,0,1.56215E+12
fee29090,10,full,easy,FALSE,FALSE,344068,45672,55,0,1.56215E+12
bcf290e5,10,pruned,medium,FALSE,FALSE,298786,22863,30,0,1.56215E+12
21d292ce,10,full,medium,FALSE,FALSE,190133,55539,64,0,1.56215E+12
d6a29462,10,full,easy,FALSE,FALSE,137596,35806,12,0,1.56215E+12
f5f2942a,6,pruned,easy,TRUE,FALSE,119178,23131,6,2,1.56215E+12
62e2950a,6,pruned,easy,TRUE,TRUE,165680,69205,26,5,1.56215E+12
abd29616,10,pruned,medium,TRUE,TRUE,112919,20362,10,3,1.56216E+12
cfc29495,10,full,hard,FALSE,FALSE,587408,99444,46,0,1.56216E+12
bae297ee,10,full,easy,FALSE,FALSE,238720,37815,10,0,1.56216E+12
9ce294ac,10,pruned,easy,FALSE,FALSE,533304,96213,59,0,1.56216E+12
65b29750,6,full,easy,TRUE,TRUE,303789,25770,61,4,1.56216E+12
f4a298dc,10,pruned,medium,FALSE,FALSE,508819,30834,31,0,1.56216E+12
f0f29bcd,10,pruned,medium,FALSE,FALSE,212705,49576,42,0,1.56216E+12
86f29ab1,10,full,hard,TRUE,TRUE,278823,112954,17,5,1.56216E+12
e0d29b7b,10,full,hard,FALSE,FALSE,435943,67701,44,0,1.56216E+12
c1f29bae,6,pruned,easy,TRUE,TRUE,409195,29711,44,3,1.56216E+12
6df29cec,10,pruned,easy,TRUE,TRUE,268686,46394,22,3,1.56216E+12
40a29d8c,10,pruned,easy,TRUE,TRUE,243128,26922,36,3,1.56216E+12
83e29fb7,10,pruned,easy,TRUE,TRUE,39682,20362,8,3,1.56216E+12
78f29cf9,10,pruned,hard,TRUE,TRUE,533661,43987,60,4,1.56216E+12
69a2a02d,10,pruned,medium,TRUE,FALSE,207718,95277,7,4,1.56216E+12
d8d2a375,10,full,medium,FALSE,FALSE,51284,18485,2,0,1.56216E+12
b2e29cb8,10,pruned,hard,FALSE,FALSE,63936,20449,276,0,1.56216E+12
3de2a23d,10,full,hard,TRUE,TRUE,254877,56950,26,5,1.56216E+12
eeb2a417,10,full,hard,TRUE,FALSE,28929,43413,4,5,1.56216E+12
b0e2a596,6,pruned,easy,FALSE,FALSE,42149,20854,2,0,1.56216E+12
d4a2a5ec,6,full,easy,TRUE,TRUE,341134,21817,50,4,1.56216E+12
61c2aa1b,10,full,medium,FALSE,FALSE,53761,47519,8,0,1.56216E+12
dde2a9c5,10,full,medium,TRUE,TRUE,241801,133717,31,14,1.56216E+12
abe2aaa5,10,pruned,medium,FALSE,FALSE,272435,57235,31,0,1.56216E+12
99c2ad3d,10,full,medium,FALSE,FALSE,10727,15468,1,0,1.56216E+12
b7b2b0b4,10,pruned,medium,TRUE,FALSE,49686,5702,2,0,1.56216E+12
50c2b014,6,full,easy,TRUE,TRUE,114832,52093,10,4,1.56216E+12
4eb2afd3,10,full,easy,FALSE,FALSE,261610,66720,6,0,1.56216E+12
b0f2b4eb,10,full,hard,FALSE,FALSE,284990,31675,30,0,1.56216E+12
83b2c2e2,10,pruned,easy,TRUE,TRUE,277453,30765,28,3,1.56217E+12
fcb2e96f,10,full,easy,TRUE,FALSE,51115,18867,19,2,1.56218E+12
31b2e974,10,full,easy,FALSE,FALSE,168914,25237,33,0,1.56218E+12
91d2e9c4,10,pruned,easy,FALSE,FALSE,169092,12252,10,0,1.56218E+12
32e2e940,10,pruned,medium,TRUE,TRUE,184865,41729,19,4,1.56218E+12
7cc2e9d2,6,full,easy,TRUE,TRUE,125667,41980,8,4,1.56218E+12
f3d2ea28,10,full,hard,FALSE,FALSE,63024,29506,1,0,1.56218E+12
50d2ea0b,10,full,easy,FALSE,FALSE,239798,4647,20,0,1.56218E+12
eef2e93f,10,full,medium,FALSE,FALSE,528088,37650,85,0,1.56218E+12
47a2e933,10,pruned,hard,TRUE,FALSE,221121,94833,4,6,1.56218E+12
e4a2eb1e,10,full,easy,TRUE,TRUE,170462,56380,25,4,1.56218E+12
3ff2e93a,6,full,easy,TRUE,TRUE,376701,48129,17,4,1.56218E+12
10d2eb59,10,pruned,medium,FALSE,FALSE,238055,9997,14,0,1.56218E+12
2ed2eb11,10,pruned,easy,TRUE,TRUE,135988,20965,16,3,1.56218E+12
38e2e9be,6,pruned,easy,FALSE,FALSE,239806,73491,17,0,1.56218E+12
78d2eb57,6,full,easy,FALSE,FALSE,109327,20171,14,0,1.56218E+12
8cd2e9f3,6,full,easy,FALSE,FALSE,554194,77856,58,0,1.56218E+12
a6d2eaff,10,full,hard,FALSE,FALSE,306083,61872,37,0,1.56218E+12
a3a2ec55,10,full,easy,TRUE,TRUE,147111,27217,32,4,1.56218E+12
f2a2ed5c,10,full,easy,FALSE,FALSE,18144,26457,2,0,1.56218E+12
8bd2ed48,10,full,hard,FALSE,FALSE,97882,57422,2,0,1.56218E+12
c0e2ec1e,10,pruned,hard,TRUE,TRUE,148083,24942,11,4,1.56218E+12
b7d2ed28,6,pruned,easy,TRUE,TRUE,142078,31782,19,3,1.56218E+12
83a2ebd3,6,full,easy,FALSE,FALSE,548102,23500,87,0,1.56218E+12
faa2ee32,10,full,hard,FALSE,FALSE,64615,31096,10,0,1.56218E+12
