,move_limit,noise,k,board,tradeoff
530,50,1.5,10,10_easy_full,0
531,50,1.5,10,10_easy_pruned,0
532,50,1.5,10,10_hard_full,0
533,50,1.5,10,10_hard_pruned,0
534,50,1.5,10,10_medium_full,0
535,50,1.5,10,10_medium_pruned,0
536,50,1.5,10,6_easy_full,1
537,50,1.5,10,6_easy_pruned,1
538,50,1.5,10,6_hard_full,0
539,50,1.5,10,6_hard_pruned,1
540,50,1.75,3,10_easy_full,0
541,50,1.75,3,10_easy_pruned,0
542,50,1.75,3,10_hard_full,0
543,50,1.75,3,10_hard_pruned,0
544,50,1.75,3,10_medium_full,0
545,50,1.75,3,10_medium_pruned,0
546,50,1.75,3,6_easy_full,0
547,50,1.75,3,6_easy_pruned,0
548,50,1.75,3,6_hard_full,0
549,50,1.75,3,6_hard_pruned,0
550,50,1.75,5,10_easy_full,1
551,50,1.75,5,10_easy_pruned,0
552,50,1.75,5,10_hard_full,0
553,50,1.75,5,10_hard_pruned,0
554,50,1.75,5,10_medium_full,0
555,50,1.75,5,10_medium_pruned,0
556,50,1.75,5,6_easy_full,1
557,50,1.75,5,6_easy_pruned,0
558,50,1.75,5,6_hard_full,0
559,50,1.75,5,6_hard_pruned,0
560,50,1.75,10,10_easy_full,1
561,50,1.75,10,10_easy_pruned,0
562,50,1.75,10,10_hard_full,0
563,50,1.75,10,10_hard_pruned,1
564,50,1.75,10,10_medium_full,0
565,50,1.75,10,10_medium_pruned,0
566,50,1.75,10,6_easy_full,1
567,50,1.75,10,6_easy_pruned,1
568,50,1.75,10,6_hard_full,0
569,50,1.75,10,6_hard_pruned,0
570,50,2.0,3,10_easy_full,0
571,50,2.0,3,10_easy_pruned,0
572,50,2.0,3,10_hard_full,0
573,50,2.0,3,10_hard_pruned,0
574,50,2.0,3,10_medium_full,0
575,50,2.0,3,10_medium_pruned,1
576,50,2.0,3,6_easy_full,1
577,50,2.0,3,6_easy_pruned,1
578,50,2.0,3,6_hard_full,0
579,50,2.0,3,6_hard_pruned,0
580,50,2.0,5,10_easy_full,0
581,50,2.0,5,10_easy_pruned,0
582,50,2.0,5,10_hard_full,0
583,50,2.0,5,10_hard_pruned,0
584,50,2.0,5,10_medium_full,0
585,50,2.0,5,10_medium_pruned,0
586,50,2.0,5,6_easy_full,1
587,50,2.0,5,6_easy_pruned,1
588,50,2.0,5,6_hard_full,0
589,50,2.0,5,6_hard_pruned,0
590,50,2.0,10,10_easy_full,0
591,50,2.0,10,10_easy_pruned,1
592,50,2.0,10,10_hard_full,0
593,50,2.0,10,10_hard_pruned,0
594,50,2.0,10,10_medium_full,0
595,50,2.0,10,10_medium_pruned,1
596,50,2.0,10,6_easy_full,1
597,50,2.0,10,6_easy_pruned,1
598,50,2.0,10,6_hard_full,0
599,50,2.0,10,6_hard_pruned,0
600,50,2.25,3,10_easy_full,0
601,50,2.25,3,10_easy_pruned,0
602,50,2.25,3,10_hard_full,1
603,50,2.25,3,10_hard_pruned,1
604,50,2.25,3,10_medium_full,0
605,50,2.25,3,10_medium_pruned,0
606,50,2.25,3,6_easy_full,1
607,50,2.25,3,6_easy_pruned,0
608,50,2.25,3,6_hard_full,0
609,50,2.25,3,6_hard_pruned,0
610,50,2.25,5,10_easy_full,0
611,50,2.25,5,10_easy_pruned,0
612,50,2.25,5,10_hard_full,0
613,50,2.25,5,10_hard_pruned,1
614,50,2.25,5,10_medium_full,1
615,50,2.25,5,10_medium_pruned,1
616,50,2.25,5,6_easy_full,0
617,50,2.25,5,6_easy_pruned,0
618,50,2.25,5,6_hard_full,0
619,50,2.25,5,6_hard_pruned,0
620,50,2.25,10,10_easy_full,1
621,50,2.25,10,10_easy_pruned,0
622,50,2.25,10,10_hard_full,1
623,50,2.25,10,10_hard_pruned,0
624,50,2.25,10,10_medium_full,0
625,50,2.25,10,10_medium_pruned,0
626,50,2.25,10,6_easy_full,0
627,50,2.25,10,6_easy_pruned,1
628,50,2.25,10,6_hard_full,0
629,50,2.25,10,6_hard_pruned,0
630,50,2.5,3,10_easy_full,0
631,50,2.5,3,10_easy_pruned,0
632,50,2.5,3,10_hard_full,0
633,50,2.5,3,10_hard_pruned,0
634,50,2.5,3,10_medium_full,0
635,50,2.5,3,10_medium_pruned,0
636,50,2.5,3,6_easy_full,1
637,50,2.5,3,6_easy_pruned,1
638,50,2.5,3,6_hard_full,0
639,50,2.5,3,6_hard_pruned,0
640,50,2.5,5,10_easy_full,0
641,50,2.5,5,10_easy_pruned,0
642,50,2.5,5,10_hard_full,1
643,50,2.5,5,10_hard_pruned,0
644,50,2.5,5,10_medium_full,0
645,50,2.5,5,10_medium_pruned,0
646,50,2.5,5,6_easy_full,1
647,50,2.5,5,6_easy_pruned,0
648,50,2.5,5,6_hard_full,0
649,50,2.5,5,6_hard_pruned,0
650,50,2.5,10,10_easy_full,0
651,50,2.5,10,10_easy_pruned,1
652,50,2.5,10,10_hard_full,0
653,50,2.5,10,10_hard_pruned,0
654,50,2.5,10,10_medium_full,0
655,50,2.5,10,10_medium_pruned,0
656,50,2.5,10,6_easy_full,1
