,userid,player,missed_win,board,fitted_heuristic,correct
217,94d6ef33,1.0,0.666666666667,6_hard_full,interaction,0
218,94d6ef33,2.0,0.4,6_hard_full,interaction,0
219,95e69707,1.0,0.0,10_medium_pruned,blocking,1
220,96abd246,1.0,0.0,10_medium_full,blocking,0
221,96afd320,1.0,0.0,6_easy_pruned,interaction,1
222,96afd320,2.0,0.333333333333,6_easy_pruned,interaction,1
223,98c10b8a,1.0,0.333333333333,10_hard_pruned,blocking,0
224,98c10b8a,2.0,1.0,10_hard_pruned,blocking,0
225,98d105c1,1.0,0.0,10_hard_full,blocking,1
226,98d105c1,2.0,0.0,10_hard_full,blocking,1
227,9adbc2df,1.0,0.0,6_hard_full,density,0
228,9adbc2df,2.0,0.2,6_hard_full,density,0
229,9ae751bc,1.0,0.0,10_easy_full,blocking,1
230,9ba1165f,1.0,0.333333333333,10_medium_pruned,blocking,0
231,9befd8ad,1.0,0.333333333333,10_hard_full,blocking,0
232,9befd8ad,2.0,0.333333333333,10_hard_full,blocking,0
233,9da51cdd,1.0,0.1,10_medium_pruned,interaction,1
234,9da51cdd,2.0,1.0,10_medium_pruned,interaction,1
235,9db10b00,1.0,0.0,6_easy_pruned,interaction,1
236,9dd11e8e,1.0,0.0,10_medium_pruned,blocking,0
237,9dd11e8e,2.0,1.0,10_medium_pruned,blocking,0
238,9defd82d,1.0,1.0,6_easy_full,density,0
239,9defd82d,2.0,0.166666666667,6_easy_full,density,0
240,9ea4fe94,1.0,0.0,10_medium_full,interaction,0
241,a2ebe618,1.0,0.0,6_hard_pruned,interaction,0
242,a2ebe618,2.0,0.5,6_hard_pruned,interaction,0
243,a2f6ba1d,1.0,0.0,6_hard_full,density,0
244,a3eacaa9,1.0,0.0,10_hard_full,blocking,0
245,a3eacaa9,2.0,0.571428571429,10_hard_full,blocking,0
246,a4f74985,1.0,0.666666666667,10_hard_full,blocking,0
247,a4f74985,2.0,0.818181818182,10_hard_full,blocking,0
248,a5e116c5,1.0,0.0,10_medium_full,density,0
249,a5e116c5,2.0,0.0,10_medium_full,density,0
250,a6bff327,2.0,1.0,6_easy_full,density,0
251,a7b511d6,1.0,0.461538461538,10_medium_full,blocking,0
252,a7b511d6,2.0,0.666666666667,10_medium_full,blocking,0
253,a9cbcabb,1.0,0.666666666667,10_medium_pruned,blocking,1
254,aafbd6ab,1.0,0.0,6_hard_pruned,blocking,0
255,aafbd6ab,2.0,1.0,6_hard_pruned,blocking,0
256,abc728e1,1.0,0.0,10_hard_full,blocking,1
257,abd12ee2,1.0,0.0,10_medium_pruned,blocking,1
258,abd12ee2,2.0,1.0,10_medium_pruned,blocking,1
259,abdacc98,1.0,0.25,10_easy_full,blocking,0
260,abdacc98,2.0,0.571428571429,10_easy_full,blocking,0
261,acb11b17,1.0,0.0,10_easy_pruned,blocking,1
262,acc6e9d4,1.0,0.666666666667,10_easy_full,blocking,1
263,acc6e9d4,2.0,1.0,10_easy_full,blocking,1
264,acdac85f,1.0,0.666666666667,10_hard_pruned,blocking,0
265,acdac85f,2.0,0.933333333333,10_hard_pruned,blocking,0
266,aceaccbc,2.0,0.125,10_hard_full,interaction,0
267,adfac866,2.0,1.0,6_easy_pruned,linear,0
268,aedbea55,1.0,0.0,6_easy_full,blocking,1
269,b0c6f3a8,1.0,0.6,10_medium_pruned,blocking,0
270,b0c6f3a8,2.0,1.0,10_medium_pruned,blocking,0
271,b0d518a1,1.0,0.5,6_hard_full,interaction,0
272,b0d518a1,2.0,0.6,6_hard_full,interaction,0
273,b0e1157c,1.0,0.333333333333,6_hard_pruned,interaction,0
274,b0e1157c,2.0,0.0,6_hard_pruned,interaction,0
275,b3dbd892,1.0,0.5,10_medium_full,blocking,0
276,b3e4f78d,1.0,0.0,6_easy_full,density,0
277,b3e4f78d,2.0,0.5,6_easy_full,density,0
278,b4a4f22a,1.0,0.0,10_easy_full,blocking,0
279,b4a4f22a,2.0,0.142857142857,10_easy_full,blocking,0
280,b4abeb7e,1.0,0.0,6_easy_full,blocking,1
281,b7a4fe27,1.0,0.0,6_hard_full,blocking,0
282,b7a4fe27,2.0,1.0,6_hard_full,blocking,0
283,b7e510d3,1.0,0.0,6_easy_pruned,interaction,1
284,b7eae04f,2.0,0.5,6_easy_full,non-linear,0
285,b9bbc96c,1.0,0.333333333333,10_medium_full,blocking,0
286,b9bbc96c,2.0,1.0,10_medium_full,blocking,0
287,b9e10f8b,1.0,0.0,10_easy_pruned,blocking,1
288,b9e10f8b,2.0,0.0,10_easy_pruned,blocking,1
289,b9e512db,1.0,0.0,6_hard_pruned,blocking,0
290,b9e512db,2.0,1.0,6_hard_pruned,blocking,0
291,bacbc468,1.0,0.0,10_hard_pruned,blocking,1
292,bae515f2,1.0,0.0,6_hard_full,blocking,0
293,bae515f2,2.0,0.0,6_hard_full,blocking,0
294,bca124ea,1.0,0.0,10_medium_full,interaction,0
295,bcf51783,1.0,0.0,10_hard_pruned,blocking,0
296,bcf51783,2.0,1.0,10_hard_pruned,blocking,0
297,bdd7483e,1.0,0.0,10_medium_pruned,blocking,1
298,bed50a1d,1.0,0.25,6_hard_full,blocking,1
299,bed50a1d,2.0,0.0,6_hard_full,blocking,1
300,bfabcc7d,1.0,0.0,10_medium_full,interaction,0
301,c0cbeef2,1.0,0.0,6_easy_pruned,interaction,1
302,c6c100be,1.0,0.333333333333,10_medium_full,blocking,0
303,c6c100be,2.0,1.0,10_medium_full,blocking,0
304,c7a67aab,1.0,0.571428571429,6_hard_full,density,0
305,c7a67aab,2.0,0.578947368421,6_hard_full,density,0
306,c7c6f18d,1.0,0.0,10_easy_pruned,blocking,1
307,c7c6f18d,2.0,1.0,10_easy_pruned,blocking,1
308,c7fffe38,1.0,0.4,6_hard_pruned,blocking,0
309,c7fffe38,2.0,1.0,6_hard_pruned,blocking,0
310,c8a4fa50,1.0,0.75,6_hard_full,blocking,0
311,c8a4fa50,2.0,0.533333333333,6_hard_full,blocking,0
312,c8afed22,1.0,0.5,6_easy_pruned,blocking,0
313,c8afed22,2.0,1.0,6_easy_pruned,blocking,0
