,board_name,path,path_length,probability
131,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [2, 2, 2], [1, 5, 1], [0, 2, 2], [3, 2, 1], [4, 4, 2], [0, 0, 1]]",9,0.002
132,6_hard_full,"[[3, 2, 1], [2, 2, 2], [5, 0, 1]]",3,0.004
133,6_hard_full,"[[4, 3, 1], [2, 2, 2], [4, 2, 1], [4, 4, 2], [3, 0, 1], [0, 3, 2]]",6,0.002
134,6_hard_full,"[[4, 2, 1], [5, 3, 2], [5, 2, 1], [0, 3, 2], [2, 3, 1], [2, 2, 2], [4, 5, 1]]",7,0.002
135,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [3, 2, 2], [2, 2, 1], [5, 5, 2], [2, 4, 1], [0, 5, 2], [2, 5, 1]]",9,0.002
136,6_hard_full,"[[3, 2, 1], [0, 0, 2], [2, 2, 1], [0, 3, 2]]",4,0.002
137,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [2, 2, 2], [2, 4, 1], [3, 2, 2], [4, 3, 1], [5, 2, 2], [5, 3, 1]]",9,0.002
138,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 2, 2], [0, 0, 1], [3, 4, 2], [3, 2, 1], [4, 4, 2]]",8,0.002
139,6_hard_full,"[[2, 3, 1], [1, 5, 2], [3, 0, 1], [0, 3, 2], [2, 0, 1], [2, 2, 2], [4, 3, 1]]",7,0.002
140,6_hard_full,"[[0, 0, 1]]",1,0.002
141,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 0, 1], [4, 4, 2]]",4,0.002
142,6_hard_full,"[[2, 2, 1], [0, 3, 2], [2, 3, 1], [1, 0, 2], [4, 2, 1], [5, 3, 2], [3, 2, 1], [2, 0, 2], [4, 3, 1]]",9,0.002
143,6_hard_full,"[[0, 3, 1], [3, 0, 2], [3, 2, 1], [2, 4, 2], [4, 2, 1], [2, 2, 2]]",6,0.004
144,6_hard_full,"[[0, 3, 1], [3, 0, 2], [2, 0, 1], [2, 2, 2], [3, 4, 1], [0, 0, 2], [4, 4, 1]]",7,0.002
145,6_hard_full,"[[0, 3, 1], [3, 0, 2], [2, 3, 1], [2, 2, 2], [3, 5, 1], [0, 0, 2], [4, 4, 1], [1, 5, 2], [0, 2, 1]]",9,0.002
146,6_hard_full,"[[2, 3, 1], [4, 2, 2], [2, 4, 1], [2, 2, 2], [3, 4, 1], [0, 0, 2], [4, 5, 1], [4, 4, 2], [1, 4, 1]]",9,0.002
147,6_hard_full,"[[0, 5, 1], [2, 3, 2], [2, 2, 1], [0, 3, 2], [4, 3, 1], [4, 2, 2], [2, 4, 1], [0, 2, 2]]",8,0.002
148,6_hard_full,"[[1, 4, 1], [2, 2, 2], [0, 2, 1], [0, 0, 2], [4, 4, 1], [4, 2, 2], [2, 4, 1]]",7,0.002
149,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [5, 3, 2], [5, 2, 1], [0, 0, 2], [4, 2, 1]]",7,0.002
150,6_hard_full,"[[2, 4, 1], [5, 2, 2], [5, 3, 1], [2, 2, 2], [3, 5, 1], [2, 3, 2], [0, 2, 1], [0, 3, 2]]",8,0.002
151,6_hard_full,"[[2, 2, 1], [5, 2, 2], [5, 3, 1], [2, 3, 2]]",4,0.002
152,6_hard_full,"[[5, 3, 1], [2, 3, 2], [3, 5, 1], [2, 2, 2], [3, 2, 1], [4, 3, 2]]",6,0.002
153,6_hard_full,"[[2, 2, 1], [2, 3, 2], [0, 2, 1], [4, 2, 2], [3, 2, 1], [0, 3, 2], [4, 5, 1]]",7,0.002
154,6_hard_full,"[[2, 0, 1], [2, 2, 2], [3, 5, 1], [0, 0, 2], [4, 4, 1], [0, 3, 2], [4, 3, 1], [2, 3, 2], [4, 2, 1], [2, 4, 2]]",10,0.002
155,6_hard_full,"[[5, 3, 1], [2, 3, 2]]",2,0.004
156,6_hard_full,"[[4, 3, 1], [2, 2, 2], [1, 0, 1], [2, 4, 2]]",4,0.002
157,6_hard_full,"[[2, 4, 1], [5, 2, 2], [5, 3, 1], [2, 2, 2], [3, 5, 1], [2, 3, 2], [0, 2, 1], [0, 3, 2], [2, 0, 1]]",9,0.002
158,6_hard_full,"[[2, 4, 1], [2, 3, 2], [4, 3, 1], [2, 2, 2], [1, 5, 1], [4, 4, 2], [5, 5, 1], [0, 3, 2], [0, 0, 1], [5, 3, 2]]",10,0.002
159,6_hard_full,"[[1, 4, 1], [2, 3, 2], [2, 4, 1], [4, 3, 2], [2, 0, 1], [5, 3, 2]]",6,0.002
160,6_hard_full,"[[4, 2, 1], [5, 2, 2], [5, 3, 1], [2, 0, 2], [2, 2, 1]]",5,0.002
161,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 0, 2], [3, 5, 1], [5, 3, 2]]",6,0.002
162,6_hard_full,"[[2, 3, 1], [2, 2, 2], [4, 2, 1], [5, 2, 2], [0, 0, 1], [5, 3, 2], [5, 0, 1]]",7,0.002
163,6_hard_full,"[[4, 3, 1], [0, 3, 2], [2, 3, 1], [0, 2, 2], [0, 0, 1], [2, 4, 2], [5, 5, 1], [3, 5, 2], [4, 2, 1], [5, 0, 2]]",10,0.002
164,6_hard_full,"[[2, 2, 1], [4, 3, 2], [2, 3, 1], [4, 4, 2], [2, 0, 1], [2, 4, 2], [4, 2, 1]]",7,0.002
165,6_hard_full,"[[0, 3, 1], [3, 0, 2], [3, 2, 1], [5, 2, 2], [5, 3, 1], [4, 2, 2], [2, 4, 1]]",7,0.002
166,6_hard_full,"[[2, 3, 1], [3, 5, 2], [3, 2, 1]]",3,0.002
167,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [2, 4, 1]]",7,0.002
168,6_hard_full,"[[3, 2, 1], [2, 3, 2], [5, 3, 1], [2, 2, 2], [2, 0, 1], [4, 3, 2], [3, 0, 1], [2, 4, 2], [4, 0, 1], [0, 3, 2]]",10,0.002
169,6_hard_full,"[[2, 2, 1], [0, 3, 2], [2, 3, 1], [1, 0, 2], [4, 2, 1], [5, 3, 2], [3, 2, 1], [2, 0, 2], [4, 3, 1], [5, 2, 2]]",10,0.002
170,6_hard_full,"[[0, 2, 1], [2, 3, 2]]",2,0.006
171,6_hard_full,"[[4, 2, 1], [0, 0, 2], [2, 2, 1], [3, 2, 2], [4, 3, 1], [5, 3, 2], [2, 4, 1], [0, 3, 2]]",8,0.002
172,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 0, 2], [3, 2, 1], [4, 2, 2]]",6,0.002
173,6_hard_full,"[[2, 3, 1], [2, 2, 2], [0, 3, 1], [0, 0, 2], [3, 0, 1], [2, 4, 2], [2, 5, 1]]",7,0.002
174,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 0, 2], [1, 0, 1], [0, 2, 2]]",6,0.002
175,6_hard_full,"[[2, 3, 1], [2, 2, 2], [5, 3, 1], [2, 4, 2], [4, 3, 1], [0, 0, 2], [1, 4, 1], [0, 2, 2]]",8,0.002
