,entropy,condition
504,1.4038465072989046,Full
505,1.278246806465535,Full
506,1.0627926534143484,Full
507,1.428619304538432,Full
508,1.2919108068283163,Full
509,1.1108695266129875,Full
510,1.177184433415294,Full
511,1.2181078296819907,Full
512,1.0485155420483763,Full
513,1.1043196392566856,Full
514,1.2844593647759637,Full
515,1.4331612470413029,Full
516,1.374902097201601,Full
517,1.321362080293289,Full
518,1.2155181693292807,Full
519,1.0257848988660963,Full
520,1.284511210686946,Full
521,1.1984190837300583,Full
522,1.0317476628310158,Full
523,1.1079116590720444,Full
524,1.0167792054308318,Full
525,1.3847295011970489,Full
526,0.9019590058464766,Full
527,1.2091338274737613,Full
528,1.300937943420466,Full
529,1.087745073095133,Full
530,1.2042757773097863,Full
531,0.9792376509951506,Full
532,1.3888706060488998,Full
533,1.2144962547161697,Full
534,1.286896034956065,Full
535,1.210812327030916,Full
536,1.2416648145926072,Full
537,1.3798258877684204,Full
538,1.3328833288864212,Full
539,1.2181713388351496,Full
540,1.337732871076364,Full
541,1.2977882573182444,Full
542,1.3957500723292597,Full
543,1.279752003639203,Full
544,1.2958197793435486,Full
545,1.2333865040005925,Full
546,1.2077401008910973,Full
547,1.39381019499583,Full
548,1.4216660957865914,Full
549,1.0920053714366513,Full
550,1.1297614517974288,Full
551,1.379919042544725,Full
552,1.058612547583359,Full
553,1.2696337795639345,Full
554,1.0512320338635415,Full
555,1.3658162094009434,Full
556,1.4704853856821356,Full
557,1.1081542904115849,Full
558,1.2475708586165697,Full
559,1.2422351255064619,Full
560,1.2578892835535236,Full
561,1.346659467717679,Full
562,1.4918051316040524,Full
563,1.2157501808880302,Full
564,1.3265462734013294,Full
565,1.106229591705735,Full
566,1.3642265752757445,Full
567,1.2067718386555402,Full
568,1.224857779743351,Full
569,1.4481056523872153,Full
570,1.2636922984559438,Full
571,0.9946923342806469,Full
572,1.3977697716980564,Full
573,1.425590428291899,Full
574,1.2898652934065953,Full
575,1.241768999318025,Full
576,1.0729208762973772,Full
577,1.3674362422447324,Full
578,1.3592048007293331,Full
579,1.3302612250568362,Full
580,1.0250040993791305,Full
581,1.33497429988782,Full
582,1.1308504210616541,Full
583,1.371043788930347,Full
584,1.2264251578917098,Full
585,1.3312806905147427,Full
586,1.0605106968518654,Full
587,1.399904807510967,Full
588,1.3218713765630539,Full
589,0.9042451483225435,Full
590,0.9930214215016309,Full
591,1.3006298312026092,Full
592,1.1948165359819103,Full
593,1.1369945546009952,Full
594,1.0695057258121319,Full
595,1.0703785317229226,Full
596,1.363096583359149,Full
597,1.3086547056960731,Full
598,0.9524552246176742,Full
599,1.1338560233655408,Full
600,1.4139663108662117,Full
601,1.3587193414653758,Full
602,1.4185522473528767,Full
603,1.2762849034905424,Full
604,1.2181713388351498,Full
605,1.2610524678519637,Full
606,1.3609337124078973,Full
607,1.2472044774297588,Full
608,1.3153092342971933,Full
609,1.251855193437609,Full
610,1.3546111921319184,Full
611,1.044574928746809,Full
612,1.2138264642812646,Full
613,1.3796644859194374,Full
614,1.509005729254993,Full
615,1.3136657846977338,Full
616,1.131519723123723,Full
617,0.9745048813498826,Full
618,1.2726299003614854,Full
619,1.4248841488095225,Full
620,1.3819078582671727,Full
621,1.2973202791588831,Full
622,1.2025130281629919,Full
623,1.053879023906201,Full
624,1.2050937084522229,Full
625,0.8863895030852473,Full
626,1.0907226703324504,Full
627,1.3378173055403155,Full
628,1.204793309694784,Full
629,1.2963395569310814,Full
630,1.1181740339868216,Full
631,1.3802638416885453,Full
632,1.07927214587251,Full
633,1.3306227836235613,Full
634,1.4119586537341635,Full
635,1.2158494927976493,Full
636,1.1521496402397866,Full
637,1.2573576223491636,Full
638,1.204176521530088,Full
639,1.2489937305799994,Full
640,1.4085496891270501,Full
641,1.2354000561797969,Full
642,1.2451956920131506,Full
643,1.3928967799391487,Full
644,1.2207848729993938,Full
645,1.2468700180173933,Full
646,1.2213611515492213,Full
647,1.3410018954472789,Full
648,1.1963782087767798,Full
649,1.1348773640725704,Full
650,1.0521385161328456,Full
651,1.1901765128946065,Full
652,1.082534885763483,Full
653,1.3832794743486128,Full
654,1.315451173121589,Full
655,1.225743787067538,Full
656,1.0108822116556335,Full
657,0.9768945101654615,Full
658,1.2237087832138376,Full
659,0.9461153883987931,Full
660,1.0434033780461756,Full
661,1.2773803477162113,Full
662,1.2324078785000825,Full
663,1.2982747430872852,Full
664,1.2577379123860484,Full
665,1.1534758881850673,Full
666,1.3461992251486106,Full
667,1.330603880851019,Full
668,1.274597720497609,Full
669,1.3165768147925465,Full
670,1.2498060273043956,Full
671,1.2628334463277597,Full
672,1.2227179263309729,Full
673,1.309442080605654,Full
674,1.0194533448636507,Full
675,1.1129370685825033,Full
676,1.1324081199374905,Full
677,1.3027667342988745,Full
678,1.1313396018825035,Full
679,1.1212882624197742,Full
680,1.2077166743336547,Full
681,1.3553564657640509,Full
682,1.375098079295253,Full
683,1.2702907490898474,Full
684,1.2631286834633562,Full
685,1.2005242797944398,Full
686,1.2824880554681204,Full
687,1.3419321023783441,Full
688,1.3448153899028963,Full
689,1.3353348911364662,Full
690,1.389227356350573,Full
691,1.2804800866792314,Full
692,1.1704085084207319,Full
693,1.2428916373195034,Full
694,1.2015689732606714,Full
695,1.1497454148303374,Full
696,1.147265021556537,Full
697,1.2041131277764168,Full
698,1.2862760467259253,Full
699,1.2712936632219267,Full
700,1.3409519121766844,Full
701,1.2918462794192418,Full
702,1.3437898307540879,Full
703,1.2152474074342317,Full
704,1.4051725333159533,Full
705,1.246914931860893,Full
706,1.069436963940129,Full
707,1.199406542507347,Full
708,1.2715309521378928,Full
709,1.2724857719323968,Full
710,1.175150702471276,Full
711,1.4274081699853078,Full
712,1.1005620422693445,Full
713,1.0192878884822012,Full
714,1.1444802630392816,Full
715,1.1875472743460023,Full
716,1.207919541255537,Full
717,1.371745479725824,Full
718,1.1507291432561273,Full
719,1.2564907553892926,Full
720,1.2812895717067687,Full
721,1.063354481519347,Full
722,1.2621353516714722,Full
723,1.255174475780627,Full
724,1.2103543907448258,Full
725,1.1786829968521852,Full
726,1.103656290086156,Full
727,1.3088489637875729,Full
728,1.3282432267569177,Full
729,1.124042253080905,Full
730,1.2116217944000556,Full
731,1.2097977588645392,Full
732,1.1495615870957445,Full
733,1.3091128021938896,Full
734,1.104151273721253,Full
735,1.3903844373832566,Full
736,1.058678933196298,Full
737,0.9369967499856346,Full
738,1.2824683827981356,Full
739,1.347646691136949,Full
740,1.0412889906698752,Full
741,1.3812826876752247,Full
742,1.2680593118705328,Full
743,1.2444078354014318,Full
744,1.2426408038428318,Full
745,1.049880152989776,Full
746,1.1434993970095146,Full
747,1.2414981585594476,Full
748,1.0649295932735179,Full
749,1.113351733514962,Full
750,1.1391062695519552,Full
751,1.244123116796177,Full
752,1.2632191616991957,Full
753,1.1942726843483227,Full
754,1.1025514086713837,Full
755,1.134270759987292,Full
756,1.2018880014618925,Full
757,1.2325631591705575,Full
758,1.1591189744634165,Full
759,1.1226101913940363,Full
760,1.2948951769231964,Full
761,1.5244900182340222,Full
762,1.299099899265389,Full
763,1.3123129030675214,Full
764,1.022398979057838,Full
765,1.4614456979307902,Full
766,1.1578350544208258,Full
