,board,continued,count,path_length,probability,state
71,6_easy_full,1.0,1.0,2,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 0 0]
 [0 0 0 0 0 0]]"
72,6_easy_full,1.0,1.0,12,1.0,"[[0 1 2 2 1 2]
 [1 2 1 1 2 1]
 [1 2 2 2 1 1]
 [2 2 1 1 2 2]
 [1 1 2 2 2 1]
 [0 0 0 0 0 0]]"
73,6_easy_full,1.0,1.0,3,1.0,"[[0 1 1 2 0 1]
 [0 2 1 1 2 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
74,6_easy_full,0.0,1.0,2,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 1 0]
 [0 0 0 0 0 0]]"
75,6_easy_full,1.0,1.0,2,1.0,"[[0 1 0 2 1 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 2 2 2 0 0]
 [0 0 0 0 0 0]]"
76,6_easy_full,2.0,2.0,4,1.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 2 1]
 [0 0 0 0 0 0]]"
77,6_easy_full,1.0,1.0,6,1.0,"[[0 1 2 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 2 1]
 [0 0 0 0 0 0]]"
78,6_easy_full,0.0,1.0,2,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 1 1 1 2 1]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
79,6_easy_full,1.0,1.0,4,1.0,"[[0 1 0 2 1 0]
 [0 2 1 1 1 2]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 2 0]
 [0 0 0 0 0 0]]"
80,6_easy_full,0.0,1.0,5,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 1 2]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 2 2 2 1 0]
 [1 0 0 0 0 0]]"
81,6_easy_full,1.0,1.0,3,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 1 2 2 1 2]
 [0 0 0 0 0 0]]"
82,6_easy_full,0.0,1.0,5,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 2 1 1 2 2]
 [1 1 2 2 0 1]
 [0 0 0 0 0 0]]"
83,6_easy_full,0.0,1.0,5,0.0,"[[0 1 1 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 2 1 1 2 2]
 [1 0 2 2 0 0]
 [1 0 0 0 0 0]]"
84,6_easy_full,0.0,2.0,6,0.0,"[[0 1 2 2 0 1]
 [0 2 1 1 2 1]
 [1 2 2 2 1 2]
 [2 0 1 1 2 1]
 [1 0 2 2 0 1]
 [0 0 0 0 0 0]]"
85,6_easy_full,52.0,60.0,1,0.866666666667,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
86,6_easy_full,1.0,1.0,3,1.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 0 0]
 [0 0 0 0 0 1]]"
87,6_easy_full,1.0,1.0,5,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 1]
 [2 0 1 1 2 2]
 [1 0 2 2 0 0]
 [0 0 0 0 0 1]]"
88,6_easy_full,2.0,4.0,2,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 1]
 [2 2 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
89,6_easy_full,1.0,1.0,4,1.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 0 1]
 [0 0 0 0 0 0]]"
90,6_easy_full,0.0,1.0,3,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 2]
 [0 0 2 0 1 1]]"
91,6_easy_full,1.0,1.0,4,1.0,"[[0 1 0 2 0 0]
 [1 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 2]
 [1 0 2 2 2 1]
 [0 0 0 0 0 0]]"
92,6_easy_full,0.0,1.0,6,0.0,"[[0 1 0 2 2 0]
 [1 2 1 1 1 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 2]
 [1 0 2 2 2 1]
 [0 0 0 0 0 0]]"
93,6_easy_full,0.0,1.0,5,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 1 1 1 2 1]
 [1 2 2 2 0 0]
 [0 0 0 0 0 0]]"
94,6_easy_full,1.0,1.0,3,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 2 2 2 1 0]
 [1 0 0 0 0 0]]"
95,6_easy_full,1.0,2.0,2,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 1 1 1 2 0]
 [1 0 2 2 2 0]
 [0 0 0 0 0 0]]"
96,6_easy_full,5.0,6.0,1,0.833333333333,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [1 0 0 0 0 0]]"
97,6_easy_full,1.0,1.0,3,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 0 0]
 [0 0 1 0 0 0]]"
98,6_easy_full,1.0,1.0,2,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 1 2 2 0 0]
 [0 2 0 0 0 0]]"
