AssignmentId,WorkerId,actionsSolution,actions_validation,board_size,board_type,bonus,condition,solved_correct,time,time_solution,time_validation,timestamp,userid,validated_correct
3GGAI1SQEW5NHT4JMPESBO057PBCMJ,A1GPZ5REMDQZ0L,15,4,6,easy,0,full,TRUE,1.55E+12,99131,19854,,a8b597cd,TRUE
3DI28L7YXBL5I228PU1PHKC5UQV1EV,A3AO6M3YRN6PVV,2,0,10,hard,0,pruned,FALSE,1.55E+12,78344,66725,,86f596b5,FALSE
3SB5N7Y3O4B3VRDHZ6ND3IE72DPG07,A3L2FPKRD46FRW,130,0,10,hard,0,full,FALSE,1.55E+12,528827,16805,,dbc59105,FALSE
3DEL4X4EL7SBE84SWOYQJW8MHHDXYW,A1YBJN6WT3X8B5,49,0,6,easy,0,full,FALSE,1.55E+12,352625,56859,,a9d5979e,FALSE
3UN61F00HXWTFO8WCNN1JHO5LVO5RS,A2HHK2B1GUH9GX,100,0,10,easy,0,full,FALSE,1.55E+12,354540,13537,,3dc59c17,FALSE
3018Q3ZVOJXQLUKD7JEIRS4RD85ARH,A2BBDH8DZD77AU,4,3,6,easy,0,pruned,TRUE,1.55E+12,40698,23776,,e2b59d5d,FALSE
3STRJBFXOXY9DM6RNZW2LL8566JTKH,A2TDEX0T7XEPLU,4,5,10,hard,0,pruned,TRUE,1.55E+12,101031,59206,,daa59c50,FALSE
36V4Q8R5ZL7RBUE2R7FNVTPMB49QMZ,A1LA6CIGBNDOH9,32,3,10,medium,0,pruned,TRUE,1.55E+12,196544,44829,,34b59cc7,TRUE
3U0SRXB7CECX5DE2GNJNDYORCF8RNM,AMDKQKEILEP2N,14,4,6,easy,0,full,TRUE,1.55E+12,309535,61301,,abf59f0c,FALSE
3M1CVSFP61CQ9T5DU4PIM2UMHM3AQG,A25R2OI9L2Q1OW,17,0,10,medium,0,full,FALSE,1.55E+12,111118,60888,,94f5a0a9,FALSE
3ZSANO2JCGEXI01YXO0FV3KEWRVFSJ,A30KMYNZB3WUYE,8,3,6,easy,0,pruned,TRUE,1.55E+12,115581,31323,,aad5a289,TRUE
3OXV7EAXLFXXFQN86GWATPZPBCN366,A1TA2I82B8DJSA,47,0,10,medium,0,full,FALSE,1.55E+12,600524,1054836,,b9c59db1,FALSE
3U0SRXB7CECX5DE2GNJNDYORCGQRN6,AGKL1HOKIR138,8,3,10,medium,0,pruned,TRUE,1.55E+12,86683,35043,,efa5a41b,TRUE
3BV8HQ2ZZX8XZBMTFVBKGXDVHMHA6B,A14E0Y5HPALKZN,2,0,10,medium,0,pruned,FALSE,1.55E+12,46403,42265,,d5b5a5bc,FALSE
3NPI0JQDAPCAOD370R1AH2U40GVTPO,A1JLYIQ4HT4KQC,43,3,10,easy,0,pruned,TRUE,1.55E+12,167745,44442,,13e5a30f,TRUE
3UJ1CZ6IZIW5G389RCN69RT17X75SG,A1B9S8DT2CTAW0,10,3,10,easy,0,pruned,TRUE,1.55E+12,210180,22815,,d0d5a665,TRUE
3WEV0KO0ONZ0KGN26I5P73HTKDRSDV,A3P1SDBXCNU6C,11,3,10,medium,0,pruned,TRUE,1.55E+12,64230,25083,,7ee5a934,TRUE
3QILPRALQ62RN8Z6HEDNMHTMMO4N8S,A1SLJKNSNHOJRN,52,3,10,medium,0,pruned,TRUE,1.55E+12,272694,68749,,22c5aae4,TRUE
38SKSKU7R24UOE8YEN9ZMEJBKPEILY,APEE4S9XXSMGC,2,0,10,easy,0,full,FALSE,1.55E+12,170649,62360,,a2d5b09b,FALSE
3HVVDCPGTFZ4XRV8REXTUTNG4LFYT4,A3MXB3R0R9G9TA,7,5,10,hard,0,full,TRUE,1.55E+12,153970,46542,,86a5c03e,FALSE
38BQUHLA9X7OQI1MCUNJ6OUMW7JMON,A1LXW53Z5S9XG,2,0,10,medium,0,pruned,FALSE,1.55E+12,64789,35636,,d1a6dc33,FALSE
37C0GNLMHGAVXIP5Z52M6YL12TXD67,A1DBE2OL84TBKB,25,0,10,easy,0,pruned,FALSE,1.55E+12,123321,54206,,b5a6dc1f,FALSE
3QILPRALQ62RN8Z6HEDNMHTMMSP8N6,A1HDD2B9I6D33I,6,0,10,hard,0,full,FALSE,1.55E+12,51801,21583,,48e6dc30,FALSE
3S96KQ6I9NB1ZG0HVIAFH8DFYRDTDV,A2A2H30UJQAY48,6,0,10,easy,0,full,FALSE,1.56E+12,44840,13825,,12e436f0,FALSE
33LKR6A5KFR77LK5FPQKG6C69UAT15,A2I19TY4P5IAIE,6,3,10,easy,1,pruned,TRUE,1.56E+12,78745,40874,,11f436f2,TRUE
3SBEHTYCWOAEODFXX2YPGML75Y3YIR,A3S1TLYMH9WWUG,10,4,10,hard,1,pruned,TRUE,1.56E+12,71088,20882,,3ea43816,TRUE
33LK57MYLUC3NHSYY0UMYV0WKQ9SZ4,A1JPWEVV2SPZ7N,9,8,10,hard,0,pruned,TRUE,1.56E+12,38207,76315,,51b4380a,FALSE
