,board,heuristic,likelihoods_block,likelihoods_density,likelihoods_interaction,userid
170,6_hard_pruned,interaction,-2.3645716236,-2.59196289651,-2.00052361059,95a648a3
171,6_hard_pruned,density,-6.03881719295,-2.30042012328,-6.01326592079,9dd66bae
172,6_hard_pruned,density,-3.5438534539,-2.8082659705,-3.44564648854,a0d659c9
173,6_hard_pruned,density,-3.34363416434,-2.8739397206,-3.30193464902,a0f4f1bf
174,6_hard_pruned,interaction,-1.9918056026,-2.49752352187,-1.72937443417,a2ebe618
175,6_hard_pruned,blocking,-1.03027656923,-2.9114924111,-1.31885954111,a5a65415
176,6_hard_pruned,interaction,-2.4100525335,-2.56371932205,-2.33011188074,aafbd6ab
177,6_hard_pruned,blocking,-2.63406037066,-2.79079358253,-2.77406443192,aed647d3
178,6_hard_pruned,interaction,-1.51275325244,-2.39577415694,-1.5035527021,b0e1157c
179,6_hard_pruned,blocking,-1.02966101059,-2.69613670528,-1.06006521472,b9e512db
180,6_hard_pruned,density,-3.74409888521,-2.76015388418,-3.380243025,c7a6593f
181,6_hard_pruned,density,-2.79984501964,-2.35872634957,-2.83200078221,c7fffe38
182,6_hard_pruned,density,-3.49691815974,-2.55751898486,-3.37062623642,c9f64da2
183,6_hard_pruned,interaction,-2.16788570783,-2.42377190883,-1.8038252441,cdf65098
184,6_hard_pruned,density,-2.41300637011,-2.12386239505,-2.21095164697,d2f65bb5
185,6_hard_pruned,density,-3.79845183444,-2.45555331137,-3.5633069321,d4fac87b
186,6_hard_pruned,interaction,-1.59771278521,-2.39257066481,-1.36687193607,daefd33a
187,6_hard_pruned,interaction,-1.70520300253,-2.57490441453,-1.46917719469,dbe65101
188,6_hard_pruned,density,-2.90689374839,-2.51623290461,-2.77723538362,dec64994
189,6_hard_pruned,interaction,-1.86481595403,-2.15124905963,-1.74168150922,e0a737b6
190,6_hard_pruned,blocking,-2.87114291018,-3.18879527764,-3.03189507844,e1a64c7d
191,6_hard_pruned,blocking,-0.82791236686,-2.21315479946,-0.97817910739,e1e500d7
192,6_hard_pruned,interaction,-1.86704462419,-2.72386131174,-1.67702969607,e2b655ad
193,6_hard_pruned,interaction,-2.48028856443,-2.17250762922,-2.11624765502,e6f649a1
194,6_hard_pruned,blocking,-2.54594406214,-2.62619137789,-2.78493126391,e9dbbf8a
195,6_hard_pruned,blocking,-1.89477506911,-2.4011549631,-2.03184885802,e9e64bef
196,6_hard_pruned,blocking,-1.45278388095,-2.5778849788,-2.13399490414,eba732b3
197,6_hard_pruned,interaction,-1.28675352464,-2.23907440083,-1.032320567,ebc64a59
198,6_hard_pruned,interaction,-2.30009495013,-2.87430307922,-2.14266642715,f1f65080
199,6_hard_pruned,density,-2.94482273808,-2.47941343272,-2.93151667083,f6b64ced
200,6_hard_pruned,interaction,-2.16788570783,-2.42377190883,-1.8038252441,f6f64b11
201,6_hard_pruned,density,-3.77849709284,-2.5778849788,-3.41465026038,f8bbc519
202,6_hard_pruned,density,-3.09072394287,-2.47614674332,-3.21362398434,fcaffad4
203,6_hard_pruned,density,-4.05098145748,-2.97596909323,-4.14326319856,fdaa7ebb
204,6_hard_pruned,interaction,-2.14883622449,-2.32851458668,-1.99285245892,fde6491d
205,10_hard_full,blocking,-2.44375163759,-3.13856171336,-2.44474241999,13f4ff5a
206,10_hard_full,interaction,-2.44729454462,-3.02155378559,-2.25737806511,1cdbeb89
207,10_hard_full,blocking,-1.1260013036,-3.05788702354,-1.25173076146,1df6940e
208,10_hard_full,interaction,-2.80736373041,-3.25568659372,-2.73989289857,1ff4f828
209,10_hard_full,blocking,-2.60168581444,-3.30136794173,-2.7232380775,21abc061
210,10_hard_full,density,-3.85889837911,-3.29372240574,-3.79400130941,23dbc11c
211,10_hard_full,interaction,-2.44729454462,-3.02155378559,-2.25737806511,26dbf473
212,10_hard_full,blocking,-1.07917681433,-3.08352489723,-1.21597409616,28e67c08
213,10_hard_full,blocking,-1.27260236461,-3.13261293147,-1.67675345692,2fb4f99a
214,10_hard_full,interaction,-4.01564549933,-4.53977014074,-3.99650204845,34b12db9
215,10_hard_full,blocking,-1.21237957983,-3.1295448935,-1.39386105556,65f68460
216,10_hard_full,density,-4.2631923687,-3.26481177759,-4.35680858522,75ffd9e8
