,userid,solved,board_name,board_size,board_type,condition,action
344,65b29750,validatedCorrect,6_easy_full,6,easy,full,58
345,65d16666,validatedCorrect,10_easy_full,10,easy,full,9
346,65e519cb,validatedCorrect,6_hard_pruned,6,hard,pruned,9
347,65f4e348,wrong,6_hard_pruned,6,hard,pruned,20
348,65f68460,validatedCorrect,10_hard_full,10,hard,full,12
349,66aee800,wrong,10_easy_full,10,easy,full,7
350,66b442b7,solvedCorrect,10_easy_full,10,easy,full,86
351,66eee342,validatedCorrect,10_easy_pruned,10,easy,pruned,129
352,66f5647d,solvedCorrect,6_easy_full,6,easy,full,56
353,67abc3ab,validatedCorrect,6_easy_pruned,6,easy,pruned,96
354,67abf219,wrong,6_easy_pruned,6,easy,pruned,37
355,67b1a7f0,validatedCorrect,6_easy_full,6,easy,full,14
356,67e6ce01,solvedCorrect,10_hard_full,10,hard,full,103
357,67eac875,wrong,6_hard_full,6,hard,full,49
358,67f4ea8a,wrong,6_hard_pruned,6,hard,pruned,15
359,67f64a50,wrong,6_hard_pruned,6,hard,pruned,32
360,67f69d24,wrong,10_easy_full,10,easy,full,11
361,67f6aca8,wrong,10_easy_pruned,10,easy,pruned,5
362,68a1b7d8,wrong,10_hard_full,10,hard,full,44
363,68c659b8,validatedCorrect,6_hard_pruned,6,hard,pruned,60
364,68d5803f,wrong,6_easy_pruned,6,easy,pruned,5
365,68d5e249,wrong,6_hard_full,6,hard,full,24
366,68e158de,wrong,6_easy_full,6,easy,full,49
367,68e1bb60,wrong,10_easy_pruned,10,easy,pruned,5
368,69a2a02d,solvedCorrect,10_medium_pruned,10,medium,pruned,3
369,69bad0fe,wrong,6_hard_full,6,hard,full,85
370,69f239f6,wrong,6_easy_pruned,6,easy,pruned,26
371,6aa4f436,solvedCorrect,6_easy_pruned,6,easy,pruned,1
372,6ac7311a,wrong,10_easy_full,10,easy,full,71
373,6ad1c45d,wrong,10_easy_full,10,easy,full,27
374,6af6ce2f,wrong,10_medium_pruned,10,medium,pruned,10
375,6bb10472,validatedCorrect,6_hard_pruned,6,hard,pruned,7
376,6bb4e746,wrong,6_hard_pruned,6,hard,pruned,11
377,6bca8117,wrong,6_easy_full,6,easy,full,31
378,6bf51f66,wrong,6_hard_full,6,hard,full,11
379,6cb47215,wrong,6_easy_pruned,6,easy,pruned,14
380,6cbbcdf7,solvedCorrect,6_easy_pruned,6,easy,pruned,30
381,6cc4f8b6,wrong,10_easy_full,10,easy,full,44
382,6cd50fc7,validatedCorrect,10_easy_full,10,easy,full,41
383,6db6d284,wrong,10_medium_full,10,medium,full,3
384,6db76212,validatedCorrect,10_medium_pruned,10,medium,pruned,13
385,6dd103e2,wrong,6_hard_pruned,6,hard,pruned,31
386,6dd588e6,wrong,10_medium_full,10,medium,full,18
387,6de4e267,wrong,6_hard_pruned,6,hard,pruned,25
388,6df29cec,validatedCorrect,10_easy_pruned,10,easy,pruned,19
389,6dfbeafe,wrong,10_easy_full,10,easy,full,12
390,6ee61190,wrong,6_hard_full,6,hard,full,34
391,6ef56a15,wrong,6_easy_pruned,6,easy,pruned,1
392,6fc70a09,validatedCorrect,6_easy_pruned,6,easy,pruned,30
393,6fcee175,validatedCorrect,10_easy_pruned,10,easy,pruned,5
394,70bffd4d,wrong,10_easy_full,10,easy,full,71
395,70da8cfb,validatedCorrect,6_hard_full,6,hard,full,32
396,71a6e4eb,wrong,10_medium_pruned,10,medium,pruned,5
397,71beed42,validatedCorrect,6_easy_pruned,6,easy,pruned,16
398,71c6b3a3,validatedCorrect,10_hard_pruned,10,hard,pruned,27
399,71ebc315,wrong,10_medium_pruned,10,medium,pruned,9
400,72c1b0e6,validatedCorrect,10_hard_full,10,hard,full,71
