board_name,heuristic,path,move_number_in_path,prob_path
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1]]",3,0.01422683
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1], [4, 8, 2], [4, 7, 1], [2, 9, 2]]",8,5.01e-10
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1], [4, 8, 2], [4, 7, 1]]",7,1.41e-06
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1], [4, 8, 2]]",6,1.41e-06
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1]]",5,4.11e-05
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 4, 1], [4, 7, 2], [4, 8, 1]]",7,1.58e-05
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 4, 1], [4, 7, 2]]",6,1.58e-05
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 4, 1]]",5,0.00036708199999999997
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 8, 1]]",5,0.000204986
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2]]",4,0.011955318999999999
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 9, 1]]",3,0.011955318999999999
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [1, 8, 2]]",4,2.03e-06
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [4, 8, 2]]",4,2.1e-05
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [9, 3, 2]]",4,2.0300000000000002e-05
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [9, 4, 2], [9, 3, 1]]",5,2.65e-06
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [9, 4, 2]]",4,0.00016988799999999998
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [2, 8, 1]]",3,0.000597766
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2]]",2,0.09748955599999999
10_easy_full,blocking,"[[0, 5, 1], [9, 8, 2], [4, 9, 1]]",3,4.85e-06
10_easy_full,blocking,"[[0, 5, 1], [9, 8, 2], [9, 4, 1], [9, 9, 2]]",4,2.7800000000000003e-07
10_easy_full,blocking,"[[0, 5, 1], [9, 8, 2], [9, 4, 1]]",3,6.079999999999999e-07
10_easy_full,blocking,"[[0, 5, 1], [9, 8, 2]]",2,9.75e-06
10_easy_full,blocking,"[[0, 5, 1]]",1,0.09748955599999999
10_easy_full,blocking,"[[0, 7, 1], [1, 8, 2], [0, 5, 1], [4, 9, 2]]",4,8.820000000000001e-08
10_easy_full,blocking,"[[0, 7, 1], [1, 8, 2], [0, 5, 1]]",3,8.820000000000001e-08
10_easy_full,blocking,"[[0, 7, 1], [1, 8, 2]]",2,7.070000000000001e-07
10_easy_full,blocking,"[[0, 7, 1]]",1,0.000500517
10_easy_full,blocking,"[[0, 9, 1], [1, 8, 2], [1, 9, 1], [2, 9, 2], [0, 5, 1], [4, 9, 2]]",6,1.97e-12
10_easy_full,blocking,"[[0, 9, 1], [1, 8, 2], [1, 9, 1], [2, 9, 2], [0, 5, 1]]",5,1.97e-12
10_easy_full,blocking,"[[0, 9, 1], [1, 8, 2], [1, 9, 1], [2, 9, 2]]",4,1.46e-11
10_easy_full,blocking,"[[0, 9, 1], [1, 8, 2], [1, 9, 1]]",3,8.72e-09
10_easy_full,blocking,"[[0, 9, 1], [1, 8, 2]]",2,1.96e-06
10_easy_full,blocking,"[[0, 9, 1], [1, 9, 2]]",2,4.42e-06
10_easy_full,blocking,"[[0, 9, 1], [9, 4, 2], [9, 3, 1], [9, 8, 2]]",4,2.67e-06
