userid,board_name,solved,explore_time,size,type,condition,exploit_time,explore_time_sec,id_fake
aceaccbc,10_hard_full,validatedCorrect,15571,10,hard,full,5704,15.571,795
8df4f6e8,6_easy_full,wrong,15574,6,easy,full,13138,15.574,796
76bfdf0b,10_easy_pruned,wrong,15582,10,easy,pruned,3825,15.582,797
d5aff345,10_easy_pruned,validatedCorrect,15596,10,easy,pruned,4056,15.596,798
eec719ce,10_easy_pruned,wrong,15598,10,easy,pruned,8524,15.598,799
16f6e58d,10_hard_pruned,wrong,15599,10,hard,pruned,8196,15.599,800
f8e11654,10_medium_full,wrong,15604,10,medium,full,13510,15.604,801
d5aff345,10_easy_pruned,validatedCorrect,15637,10,easy,pruned,6442,15.637,802
aceaccbc,10_hard_full,validatedCorrect,15648,10,hard,full,2151,15.648,803
67abc3ab,6_easy_pruned,wrong,15658,6,easy,pruned,9459,15.658,804
cfd6ff5a,6_easy_full,wrong,15715,6,easy,full,13489,15.715,805
c8c4f85a,10_easy_full,validatedCorrect,15715,10,easy,full,15087,15.715,806
7cc119e0,6_easy_pruned,validatedCorrect,15726,6,easy,pruned,8340,15.726,807
8ea50714,10_hard_pruned,validatedCorrect,15747,10,hard,pruned,8384,15.747,808
8bc69c49,10_hard_full,solvedCorrect,15768,10,hard,full,14368,15.768,809
acdac85f,10_hard_pruned,wrong,15770,10,hard,pruned,9989,15.77,810
6cbbcdf7,6_easy_pruned,solvedCorrect,15839,6,easy,pruned,8104,15.839,811
23b6924e,10_easy_full,solvedCorrect,15868,10,easy,full,6512,15.868,812
5de11557,6_easy_full,validatedCorrect,15922,6,easy,full,14273,15.922,813
89cbc391,10_easy_full,wrong,15931,10,easy,full,14682,15.931,814
48ec02bc,10_medium_full,wrong,15964,10,medium,full,14917,15.964,815
d5aff345,10_easy_pruned,validatedCorrect,15970,10,easy,pruned,1072,15.97,816
6fc70a09,6_easy_pruned,solvedCorrect,15989,6,easy,pruned,14361,15.989,817
bfe4c87d,6_hard_full,validatedCorrect,16082,6,hard,full,4699,16.082,818
23b6924e,10_easy_full,solvedCorrect,16085,10,easy,full,15047,16.085,819
89cbc391,10_easy_full,wrong,16088,10,easy,full,15567,16.088,820
edbbcb60,6_easy_pruned,validatedCorrect,16089,6,easy,pruned,8717,16.089,821
4cffe209,10_medium_full,wrong,16104,10,medium,full,13346,16.104,822
9da51cdd,10_medium_pruned,solvedCorrect,16156,10,medium,pruned,14759,16.156,823
48ec02bc,10_medium_full,wrong,16172,10,medium,full,2963,16.172,824
23b6924e,10_easy_full,solvedCorrect,16212,10,easy,full,15472,16.212,825
30e4feac,6_hard_pruned,wrong,16222,6,hard,pruned,13905,16.222,826
5de11557,6_easy_full,validatedCorrect,16230,6,easy,full,4317,16.23,827
23b6924e,10_easy_full,solvedCorrect,16251,10,easy,full,15424,16.251,828
6cd50fc7,10_easy_full,wrong,16266,10,easy,full,12649,16.266,829
edbbcb60,6_easy_pruned,validatedCorrect,16268,6,easy,pruned,14963,16.268,830
fda4f169,6_easy_full,validatedCorrect,16273,6,easy,full,13572,16.273,831
76bfdf0b,10_easy_pruned,wrong,16297,10,easy,pruned,7520,16.297,832
29e72a67,10_medium_pruned,validatedCorrect,16305,10,medium,pruned,9660,16.305,833
cccfd3ac,10_easy_full,validatedCorrect,16309,10,easy,full,14114,16.309,834
cee4bfa4,6_hard_full,wrong,16320,6,hard,full,6624,16.32,835
16f6e58d,10_hard_pruned,wrong,16326,10,hard,pruned,14792,16.326,836
34cffc40,6_easy_full,wrong,16338,6,easy,full,15410,16.338,837
b0c6f3a8,10_medium_pruned,validatedCorrect,16359,10,medium,pruned,14456,16.359,838
cce7504c,10_hard_pruned,solvedCorrect,16371,10,hard,pruned,8648,16.371,839
cccfd3ac,10_easy_full,validatedCorrect,16379,10,easy,full,13601,16.379,840
29e72a67,10_medium_pruned,validatedCorrect,16410,10,medium,pruned,7683,16.41,841
cccfd3ac,10_easy_full,validatedCorrect,16451,10,easy,full,10425,16.451,842
89cbc391,10_easy_full,wrong,16459,10,easy,full,12361,16.459,843
18a695e2,10_hard_pruned,wrong,16492,10,hard,pruned,15392,16.492,844
f9c123d7,6_easy_full,wrong,16558,6,easy,full,15029,16.558,845
92a74a76,6_hard_pruned,wrong,16559,6,hard,pruned,14792,16.559,846
a4f74985,10_hard_full,wrong,16569,10,hard,full,15582,16.569,847
