userid,board,solved,correct,explore_time,exploit_time,num_unique_first_moves,num_resets,num_moves_win_score,mean_score,num_restarts,solution_time,median_score,number_of_moves
a3eacaa9,10_hard_full,wrong,wrong,28.502,6.0854,0.157894737,0.076923077,0.083333333,0.580760346,0.119047619,0.317776075,0.152159045,0.136094675
a4f74985,10_hard_full,wrong,wrong,21.1738,14.0846,0.210526316,0.076923077,0.083333333,0.496047592,0.119047619,0.256539023,0.186760758,0.195266272
abc728e1,10_hard_full,wrong,wrong,52.575,35.468,0.001,0.001,0.166666667,0.566922838,0.001,0.269365384,0.58888102,0.071005917
aceaccbc,10_hard_full,validatedCorrect,correct,13.21326667,5.445866667,0.210526316,0.269230769,0.001,0.664319733,0.357142857,0.775164481,0.601518254,0.26035503
add50f98,10_hard_full,wrong,wrong,20.4065,17.64675,0.052631579,0.057692308,0.083333333,0.372874511,0.095238095,0.37723583,0.484523134,0.118343195
b1ebd3b5,10_hard_full,wrong,wrong,9.979333333,0,0.105263158,0.038461538,0.001,0.449080991,0.047619048,0.086337689,0.610556081,0.01183432
b5b6dcbc,10_hard_full,solvedCorrect,wrong,63.23033333,56.93266667,0.263157895,0.038461538,0.166666667,0.497110282,0.19047619,0.689380352,0.14364785,0.189349112
d2ac158a,10_hard_full,wrong,wrong,43.9845,31.425,0.105263158,0.019230769,0.333333333,0.523950001,0.023809524,0.422037308,0.536702077,0.118343195
edf12206,10_hard_full,validatedCorrect,correct,23.92025,16.25375,0.105263158,0.057692308,0.166666667,0.283226031,0.095238095,0.172349147,0.607322355,0.165680473
f0ebc21e,10_hard_full,wrong,wrong,8.388,5.811,0.263157895,0.057692308,0.083333333,0.31037826,0.095238095,0.085661608,0.213639696,0.130177515
f6fbf7bf,10_hard_full,wrong,wrong,41.2525,31.775,0.001,0.019230769,0.083333333,0.241372675,0.023809524,0.21384255,0.137735915,0.177514793
f7ebbfe9,10_hard_full,solvedCorrect,wrong,57.11133333,46.76966667,0.210526316,0.096153846,0.166666667,0.237714999,0.142857143,0.705216604,0.062322946,0.360946746
16f6e58d,10_hard_pruned,wrong,wrong,54.21228571,31.61857143,0.105263158,0.115384615,0.166666667,0.448575915,0.166666667,0.701372682,0.133498584,0.230769231
18a695e2,10_hard_pruned,wrong,wrong,20.47676923,13.56792308,0.210526316,0.230769231,0.75,0.422972545,0.30952381,0.709870939,0.148471459,0.378698225
28d4fefb,10_hard_pruned,solvedCorrect,wrong,8.5096,6.0411,0.315789474,0.173076923,0.5,0.483708395,0.214285714,0.35903034,0.386458924,0.266272189
31f6a576,10_hard_pruned,validatedCorrect,correct,33.229,26.5539,0.157894737,0.192307692,0.5,0.448335419,0.214285714,0.879630901,0.088394904,0.384615385
32fad07f,10_hard_pruned,solvedCorrect,wrong,38.217,36.059,0.052631579,0.001,0.583333333,0.592616117,0.023809524,0.329752167,0.745170333,0.124260355
41bad9a2,10_hard_pruned,validatedCorrect,correct,49.517,39.122,0.210526316,0.173076923,0.5,0.487072783,0.166666667,0.950287335,0.484523134,0.24260355
