userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
49c72e9b,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-1.943129336,-2.208403204,-2.110056562,-1.896115335,-1.978013185,-1.590217946,-1.649466764
4bca7fc9,6_hard_pruned,6,hard,pruned,density,0.05,25,-2.480450373,-2.906888569,-2.698341676,-2.806103887,-2.713278941,-3.476295833,-3.467451807
4ca649a6,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.423537703,-2.618438042,-2.592895288,-1.937918401,-1.986651857,-1.791886655,-1.848926003
4ca65156,6_hard_pruned,6,hard,pruned,non-linear,0.05,25,-2.831392805,-2.318129282,-2.236075213,-2.351391583,-2.312181494,-2.745281047,-2.751270588
4cb651bd,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.379603389,-2.822580727,-2.751320092,-2.648587926,-2.665531076,-1.714236633,-1.745025444
4ed4e40b,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.699405232,-2.705195046,-2.529849974,-2.400476048,-2.372146413,-1.872621745,-1.861184903
4ee64c2a,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.787438314,-2.214624271,-2.13677845,-2.05195743,-2.034601052,-1.992449928,-1.965660049
51a4e32d,6_hard_pruned,6,hard,pruned,blocking,0.05,25,-2.603977211,-2.019545214,-1.943410726,-1.93353638,-1.908472528,-2.802926498,-2.85302842
53a654e5,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.887640884,-3.715284947,-3.624209893,-3.45949686,-3.40736702,-2.613337102,-2.589145538
53d65632,6_hard_pruned,6,hard,pruned,density,0.05,25,-2.636609692,-3.221374151,-3.1149275,-2.991083213,-2.993846712,-2.702205053,-2.705949783
59d4e268,6_hard_pruned,6,hard,pruned,blocking,0.05,25,-2.883263806,-2.393734265,-2.348553194,-2.305866459,-2.277977715,-2.635738146,-2.650465546
5adff9a5,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.529192451,-2.878890455,-2.74687919,-2.529523086,-2.528023711,-2.463867895,-2.461041202
