,board,missed_win,player
462,6_hard_full,1,1.0
463,6_hard_full,0,2.0
464,6_hard_full,1,1.0
465,6_hard_full,1,2.0
466,6_hard_full,0,1.0
467,6_hard_full,1,2.0
468,6_hard_full,1,2.0
469,6_hard_full,0,1.0
470,6_hard_full,1,2.0
471,6_hard_full,1,2.0
472,6_hard_full,1,1.0
473,6_hard_full,0,1.0
474,6_hard_full,1,2.0
475,6_hard_full,0,2.0
476,6_hard_full,1,2.0
477,6_hard_full,1,2.0
478,6_hard_full,0,1.0
479,6_hard_full,0,1.0
480,6_hard_full,0,1.0
481,6_hard_full,1,2.0
482,6_hard_full,1,1.0
483,6_hard_full,1,2.0
484,6_hard_full,1,2.0
485,6_hard_full,1,2.0
486,6_hard_full,1,2.0
487,6_hard_full,1,2.0
488,6_hard_full,0,2.0
489,6_hard_full,1,2.0
490,6_hard_full,1,2.0
491,6_hard_full,1,2.0
492,6_hard_full,1,2.0
493,6_hard_full,0,1.0
494,6_hard_full,0,1.0
495,6_hard_pruned,1,2.0
496,6_hard_pruned,0,1.0
497,6_hard_pruned,1,1.0
498,6_hard_pruned,1,1.0
499,6_hard_pruned,1,2.0
500,6_hard_pruned,1,2.0
501,6_hard_pruned,1,2.0
502,6_hard_pruned,1,1.0
503,6_hard_pruned,1,1.0
504,6_hard_pruned,0,1.0
505,6_hard_pruned,0,1.0
506,6_hard_pruned,1,1.0
507,6_hard_pruned,1,2.0
508,6_hard_pruned,1,2.0
509,6_hard_pruned,0,1.0
510,6_hard_pruned,1,2.0
511,6_hard_pruned,1,2.0
512,6_hard_pruned,0,1.0
513,6_hard_pruned,0,2.0
514,6_hard_pruned,1,2.0
515,6_hard_pruned,1,2.0
516,6_hard_pruned,1,2.0
517,6_hard_pruned,0,2.0
518,6_hard_pruned,1,2.0
519,6_hard_pruned,0,1.0
520,6_hard_pruned,0,1.0
521,6_hard_pruned,1,2.0
522,6_hard_pruned,0,1.0
523,6_hard_pruned,1,2.0
524,6_hard_pruned,1,2.0
525,6_hard_pruned,1,2.0
526,6_hard_pruned,1,1.0
527,6_hard_pruned,1,2.0
