,Unnamed: 0,board_name,path,move_number_in_path,count,participants_prob,mcts_prob
74,74,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1]]",23,1,0.5,0.0
75,75,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2]]",22,1,0.5,0.0
76,76,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1]]",21,1,0.5,0.0
77,77,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2]]",20,1,0.5,0.0
78,78,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1]]",19,1,0.5,0.0
79,79,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2]]",18,1,0.5,0.0
80,80,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1]]",17,1,0.5,0.0
81,81,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2]]",16,1,0.33333333333299997,0.0
82,82,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1]]",15,1,0.25,0.0
83,83,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2]]",14,1,0.166666666667,0.0
84,84,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1]]",13,1,0.166666666667,0.0
85,85,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2]]",12,1,0.166666666667,0.0
86,86,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1]]",11,1,0.08333333333330001,0.0
87,87,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2]]",10,1,0.0625,0.0
88,88,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1]]",9,1,0.037037037037,0.0
89,89,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2]]",8,1,0.0192307692308,0.0
90,90,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1]]",7,1,0.00970873786408,0.0
91,91,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2]]",6,1,0.00662251655629,0.0
92,92,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1]]",5,1,0.00480769230769,0.0
93,93,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2]]",4,21,0.0739436619718,0.0
94,94,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1]]",3,22,0.06470588235290001,0.0
95,95,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1], [4, 8, 2], [4, 7, 1], [2, 9, 2]]",8,1,0.0192307692308,0.0
96,96,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1], [4, 8, 2], [4, 7, 1]]",7,1,0.00970873786408,0.0
97,97,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1], [4, 8, 2]]",6,1,0.00662251655629,0.0
98,98,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1]]",5,1,0.00480769230769,0.0
99,99,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 4, 1], [4, 7, 2], [4, 8, 1]]",7,1,0.00970873786408,0.0
100,100,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 4, 1], [4, 7, 2]]",6,1,0.00662251655629,0.0
101,101,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 4, 1]]",5,1,0.00480769230769,0.0
102,102,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 8, 1]]",5,1,0.00480769230769,0.0
103,103,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2]]",4,5,0.0176056338028,0.0
104,104,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1]]",3,5,0.0147058823529,0.0
105,105,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [1, 8, 2]]",4,1,0.00352112676056,0.0
106,106,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [4, 8, 2]]",4,1,0.00352112676056,0.0
107,107,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [9, 3, 2]]",4,1,0.00352112676056,0.0
108,108,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [9, 4, 2], [9, 3, 1]]",5,1,0.00480769230769,0.0
109,109,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [9, 4, 2]]",4,1,0.00352112676056,0.0
110,110,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1]]",3,3,0.008823529411760001,0.0
111,111,10_easy_full,"[[0, 5, 1], [4, 9, 2]]",2,48,0.124352331606,0.014973390661174419
112,112,10_easy_full,"[[0, 5, 1], [9, 8, 2], [4, 9, 1]]",3,1,0.0029411764705900003,0.0
113,113,10_easy_full,"[[0, 5, 1], [9, 8, 2], [9, 4, 1], [9, 9, 2]]",4,1,0.00352112676056,0.0
114,114,10_easy_full,"[[0, 5, 1], [9, 8, 2], [9, 4, 1]]",3,2,0.005882352941180001,0.0
