possible_moves,board_name,time_rel,move_ranking,solved,top_score,userid,prev_action,score_move,player,time_between,position,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,condition,second_score
23,logs/6_hard_full_dec19,368923,3,wrong,50002.74392361111,22dac859,click,2.6805555555555554,1,3.522,0_3,1513540271334,1513540267812,42,False,3,"6,hard,full",3.2913718820861675
22,logs/6_hard_full_dec19,372051,9,wrong,0,22dac859,click,-0.4141156462585034,2,3.128,2_0,1513540274462,1513540271334,43,False,4,"6,hard,full",-0.16666666666666666
22,logs/6_hard_full_dec19,374849,20,wrong,0,22dac859,undo,-5001.126666666666,2,0.887,3_0,1513540277260,1513540276373,44,False,4,"6,hard,full",-0.16666666666666666
25,logs/6_hard_full_dec19,400073,0,wrong,4.215193452380952,22dac859,undo,4.215193452380952,1,2.164,2_3,1513540302484,1513540300320,45,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,413883,18,wrong,0,22dac859,click,-3.153663548752834,2,13.81,3_4,1513540316294,1513540302484,46,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,416690,1,wrong,50011.986371882085,22dac859,click,50001.166371882086,1,2.807,2_2,1513540319101,1513540316294,47,False,3,"6,hard,full",50001.166371882086
22,logs/6_hard_full_dec19,418218,19,wrong,0,22dac859,click,-5000.0,2,1.528,2_0,1513540320629,1513540319101,48,False,4,"6,hard,full",-0.1111111111111111
21,logs/6_hard_full_dec19,430245,1,wrong,50000.625,22dac859,click,5000.923369472789,1,12.027,2_4,1513540332656,1513540320629,49,False,5,"6,hard,full",5000.923369472789
25,logs/6_hard_full_dec19,439398,0,wrong,4.215193452380952,22dac859,undo,4.215193452380952,1,2.654,2_3,1513540341809,1513540339155,50,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,450865,22,wrong,0,22dac859,click,-50001.166371882086,2,11.467,2_2,1513540353276,1513540341809,51,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,458810,19,wrong,50002.74392361111,22dac859,click,0,1,7.945,4_5,1513540361221,1513540353276,52,False,3,"6,hard,full",3.2913718820861675
22,logs/6_hard_full_dec19,464808,14,wrong,0,22dac859,click,-1.0416666666666667,2,5.998,3_0,1513540367219,1513540361221,53,False,4,"6,hard,full",-0.2361111111111111
21,logs/6_hard_full_dec19,469818,1,wrong,50002.74392361111,22dac859,click,5033.043663548753,1,5.01,3_4,1513540372229,1513540367219,54,False,5,"6,hard,full",5033.043663548753
24,logs/6_hard_full_dec19,485680,22,wrong,0,22dac859,undo,-50001.166371882086,2,8.221,2_2,1513540388091,1513540379870,55,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,489153,19,wrong,50002.74392361111,22dac859,click,0,1,3.473,4_5,1513540391564,1513540388091,56,False,3,"6,hard,full",3.2913718820861675
22,logs/6_hard_full_dec19,492932,20,wrong,0,22dac859,click,-5033.043663548753,2,3.779,3_4,1513540395343,1513540391564,57,False,4,"6,hard,full",-0.2361111111111111
25,logs/6_hard_full_dec19,503150,0,wrong,4.215193452380952,22dac859,undo,4.215193452380952,1,3.864,2_3,1513540405561,1513540401697,58,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,507578,22,wrong,0,22dac859,click,-50001.166371882086,2,4.428,2_2,1513540409989,1513540405561,59,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,510534,6,wrong,50002.74392361111,22dac859,click,1.0416666666666667,1,2.956,3_0,1513540412945,1513540409989,60,False,3,"6,hard,full",3.2913718820861675
22,logs/6_hard_full_dec19,512032,20,wrong,0,22dac859,click,-5032.180555555556,2,1.498,0_3,1513540414443,1513540412945,61,False,4,"6,hard,full",-0.16666666666666666
21,logs/6_hard_full_dec19,515151,14,wrong,50002.74392361111,22dac859,click,0,1,3.119,4_5,1513540417562,1513540414443,62,False,5,"6,hard,full",3.2913718820861675
20,logs/6_hard_full_dec19,517362,18,wrong,-0.2213718820861678,22dac859,click,-5033.043663548753,2,2.211,3_4,1513540419773,1513540417562,63,False,6,"6,hard,full",-0.2213718820861678
25,logs/6_hard_full_dec19,526475,0,wrong,4.215193452380952,22dac859,undo,4.215193452380952,1,3.449,2_3,1513540428886,1513540425437,64,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,530396,22,wrong,0,22dac859,click,-50001.166371882086,2,3.921,2_2,1513540432807,1513540428886,65,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,535801,19,wrong,50002.74392361111,22dac859,click,0,1,5.405,4_4,1513540438212,1513540432807,66,False,3,"6,hard,full",3.2913718820861675
22,logs/6_hard_full_dec19,549451,14,wrong,0,22dac859,click,-1.0416666666666667,2,13.65,3_0,1513540451862,1513540438212,67,False,4,"6,hard,full",-0.1111111111111111
21,logs/6_hard_full_dec19,552579,2,wrong,50002.74392361111,22dac859,click,5.067743764172334,1,3.128,3_4,1513540454990,1513540451862,68,False,5,"6,hard,full",5.515000000000001
20,logs/6_hard_full_dec19,556270,17,wrong,0,22dac859,click,-5032.957743764173,2,3.691,4_5,1513540458681,1513540454990,69,False,6,"6,hard,full",-0.1111111111111111
19,logs/6_hard_full_dec19,560011,0,wrong,50005.125,22dac859,click,50005.125,1,3.741,1_4,1513540462422,1513540458681,70,False,7,"6,hard,full",50002.680555555555
18,logs/6_hard_full_dec19,562645,16,wrong,0,22dac859,click,-5000.2847399376415,2,2.634,2_4,1513540465056,1513540462422,71,False,8,"6,hard,full",-0.1189236111111111
25,logs/6_hard_full_dec19,16003,2,wrong,4.215193452380952,26dbf6e9,,2.8463718820861676,1,15.991,0_3,1513617458531,1513617442540,1,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,17512,23,wrong,0,26dbf6e9,click,-5001.126666666666,2,1.509,3_0,1513617460040,1513617458531,2,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,25677,3,wrong,3.7293771258503403,26dbf6e9,click,2.6805555555555554,1,8.165,0_2,1513617468205,1513617460040,3,False,3,"6,hard,full",3.6043771258503403
22,logs/6_hard_full_dec19,28057,0,wrong,0,26dbf6e9,click,0,2,2.38,0_5,1513617470585,1513617468205,4,False,4,"6,hard,full",-0.16666666666666666
21,logs/6_hard_full_dec19,35947,1,wrong,8.896928146258503,26dbf6e9,click,6.547744472789115,1,7.89,2_2,1513617478475,1513617470585,5,False,5,"6,hard,full",6.547744472789115
20,logs/6_hard_full_dec19,39643,18,wrong,-0.05555555555555555,26dbf6e9,click,-5000.118923611111,2,3.696,3_2,1513617482171,1513617478475,6,False,6,"6,hard,full",-0.1111111111111111
19,logs/6_hard_full_dec19,53140,0,wrong,50001.166371882086,26dbf6e9,click,50001.166371882086,1,13.497,2_3,1513617495668,1513617482171,7,False,7,"6,hard,full",3.5761118197278914
18,logs/6_hard_full_dec19,58549,17,wrong,-0.05555555555555555,26dbf6e9,click,-5000.2847399376415,2,5.409,2_4,1513617501077,1513617495668,8,False,8,"6,hard,full",-0.1111111111111111
17,logs/6_hard_full_dec19,59719,0,wrong,5000.174479166667,26dbf6e9,click,5000.174479166667,1,1.17,2_0,1513617502247,1513617501077,9,False,9,"6,hard,full",3.7363718820861678
25,logs/6_hard_full_dec19,68228,3,wrong,4.215193452380952,26dbf6e9,reset,2.728560799319728,1,1.459,2_2,1513617510756,1513617509297,10,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,80654,23,wrong,0,26dbf6e9,click,-50001.166371882086,2,12.426,2_3,1513617523182,1513617510756,11,False,2,"6,hard,full",-0.1111111111111111
23,logs/6_hard_full_dec19,87646,5,wrong,50000.61892361111,26dbf6e9,click,1.0416666666666667,1,6.992,3_0,1513617530174,1513617523182,12,False,3,"6,hard,full",9.042743764172336
25,logs/6_hard_full_dec19,92333,3,wrong,4.215193452380952,26dbf6e9,reset,2.728560799319728,1,0.7,2_2,1513617534861,1513617534161,13,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,92867,23,wrong,0,26dbf6e9,click,-50001.166371882086,2,0.534,2_3,1513617535395,1513617534861,14,False,2,"6,hard,full",-0.1111111111111111
25,logs/6_hard_full_dec19,30427,2,validatedCorrect,4.215193452380952,32ebf2e8,,2.8463718820861676,1,30.411,0_3,1513616421930,1513616391519,1,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,32679,23,validatedCorrect,0,32ebf2e8,click,-5001.126666666666,2,2.252,3_0,1513616424182,1513616421930,2,False,2,"6,hard,full",-0.16666666666666666
25,logs/6_hard_full_dec19,45554,3,validatedCorrect,4.215193452380952,32ebf2e8,reset,2.728560799319728,1,8.154,2_2,1513616437057,1513616428903,3,True,1,"6,hard,full",3.6043771258503403
