,max_moves,noise_sig,k,shutter_size,board,numberOfHeuristicComp,numberOfHeuristicComp_sem,correct,correct_sem,inverse_computation
856,50,1.5,5,1.0,10_medium_full,1574.312,6.04776688378,0.078,0.0120050089746,0.000635198105585
857,50,1.5,5,1.0,10_medium_pruned,1029.812,12.2204782841,0.326,0.0209840095624,0.000971051026789
858,50,1.5,5,1.0,6_easy_full,208.84,1.82005439369,0.498,0.0223828949865,0.00478835472132
859,50,1.5,5,1.0,6_easy_pruned,136.39,1.60109800751,0.778,0.0186044147583,0.00733191582961
860,50,1.5,5,1.0,6_hard_full,486.808,3.81090070723,0.132,0.0151529278506,0.00205419795895
861,50,1.5,5,1.0,6_hard_pruned,471.966,4.44616987317,0.132,0.0151529278506,0.00211879669298
862,50,1.5,5,2.0,10_easy_full,1803.806,10.3507919754,0.19,0.0175618004108,0.000554383342776
863,50,1.5,5,2.0,10_easy_pruned,1249.316,19.5828692951,0.36,0.0214877510897,0.000800437999673
864,50,1.5,5,2.0,10_hard_full,2021.154,8.60997909684,0.134,0.0152496920039,0.000494766851017
865,50,1.5,5,2.0,10_hard_pruned,2048.87,12.2161797751,0.11,0.0140068691994,0.000488073913914
866,50,1.5,5,2.0,10_medium_full,2240.302,7.03964365274,0.102,0.0135483991023,0.000446368391404
867,50,1.5,5,2.0,10_medium_pruned,1398.668,18.0249772027,0.316,0.0208123595159,0.000714965953321
868,50,1.5,5,2.0,6_easy_full,281.414,2.33305711868,0.486,0.0223742981664,0.00355348347986
869,50,1.5,5,2.0,6_easy_pruned,168.304,1.94009461166,0.786,0.0183597975024,0.00594162943246
870,50,1.5,5,2.0,6_hard_full,707.078,4.54197698606,0.134,0.0152496920039,0.00141427112709
871,50,1.5,5,2.0,6_hard_pruned,668.842,5.71731838636,0.166,0.0166566168765,0.00149512141881
872,50,1.5,10,0.0,10_easy_full,515.390581717,2.80773829559,0.232686980609,0.0222700440094,0.00194027604592
873,50,1.5,10,0.0,10_easy_pruned,493.091412742,3.790941463,0.360110803324,0.025299923839,0.00202802152736
874,50,1.5,10,0.0,10_hard_full,526.168975069,2.4936340811,0.130193905817,0.0177359845062,0.00190053014788
875,50,1.5,10,0.0,10_hard_pruned,538.432132964,2.63808054641,0.102493074792,0.0159850837078,0.00185724428164
876,50,1.5,10,0.0,10_medium_full,588.997229917,2.30511728361,0.0969529085873,0.0155949637618,0.00169780085407
877,50,1.5,10,0.0,10_medium_pruned,577.094182825,3.07456427883,0.229916897507,0.022177009977,0.00173281940758
878,50,1.5,10,0.0,6_easy_full,109.758,1.07121139824,0.486,0.0223742981664,0.00911095318792
879,50,1.5,10,0.0,6_easy_pruned,108.044,0.702246700852,0.664,0.021144791425,0.00925548850468
880,50,1.5,10,0.0,6_hard_full,229.376,1.24011330532,0.112,0.0141177413648,0.00435965401786
881,50,1.5,10,0.0,6_hard_pruned,212.408,1.20614121281,0.154,0.0161582851925,0.00470792060563
882,50,1.5,10,0.5,10_easy_full,1107.70083102,6.21285371802,0.240997229917,0.0225411700555,0.000902770831249
883,50,1.5,10,0.5,10_easy_pruned,1102.62603878,7.645701047,0.443213296399,0.0261818040236,0.000906925797894
884,50,1.5,10,0.5,10_hard_full,1081.966759,5.15931147829,0.119113573407,0.0170721939322,0.000924242812156
885,50,1.5,10,0.5,10_hard_pruned,1115.77285319,5.72188173135,0.0747922437673,0.0138642590097,0.00089623976524
886,50,1.5,10,0.5,10_medium_full,1292.89473684,5.64420211756,0.0747922437673,0.0138642590097,0.000773458172196
887,50,1.5,10,0.5,10_medium_pruned,1273.96952909,7.14620253822,0.301939058172,0.0241966402237,0.000784948130367
888,50,1.5,10,0.5,6_easy_full,182.804,1.46529496918,0.576,0.0221229937781,0.00547033981751
