time_before,time_before_sec
3228,3.228
1022,1.022
2275,2.275
3608,3.608
665,0.665
591,0.591
790,0.79
1115,1.115
1811,1.811
11509,11.509
1373,1.373
1340,1.34
1826,1.826
773,0.773
990,0.99
7208,7.208
1437,1.437
1055,1.055
14736,14.736
3056,3.056
2176,2.176
841,0.841
1898,1.898
1696,1.696
2518,2.518
316816,316.816
3980,3.98
5311,5.311
476,0.476
4900,4.9
2021,2.021
3563,3.563
4152,4.152
2684,2.684
22958,22.958
14155,14.155
2928,2.928
12445,12.445
28634,28.634
6604,6.604
1405,1.405
8176,8.176
40423,40.423
6730,6.73
3644,3.644
2633,2.633
1942,1.942
17106,17.106
1605,1.605
2095,2.095
4189,4.189
5211,5.211
8175,8.175
6484,6.484
9950,9.95
7374,7.374
7825,7.825
8637,8.637
10460,10.46
2258,2.258
2708,2.708
7467,7.467
2529,2.529
4321,4.321
7056,7.056
3661,3.661
1747,1.747
29140,29.14
8920,8.92
41580,41.58
3973,3.973
10095,10.095
10009,10.009
35219,35.219
5258,5.258
11004,11.004
15019,15.019
4096,4.096
5941,5.941
2170,2.17
1515,1.515
7123,7.123
804,0.804
1908,1.908
6551,6.551
1271,1.271
3961,3.961
1909,1.909
8375,8.375
2902,2.902
1400,1.4
18507,18.507
9373,9.373
8810,8.81
3330,3.33
65106,65.106
1572,1.572
2121,2.121
7732,7.732
1713,1.713
9092,9.092
1164,1.164
4068,4.068
36190,36.19
190896,190.896
5061,5.061
2877,2.877
1916,1.916
1972,1.972
2764,2.764
1924,1.924
10245,10.245
2268,2.268
2213,2.213
3491,3.491
4318,4.318
3494,3.494
5700,5.7
2761,2.761
6033,6.033
5911,5.911
6090,6.09
6574,6.574
6405,6.405
12559,12.559
6660,6.66
9639,9.639
162085,162.085
1791,1.791
4469,4.469
6594,6.594
7469,7.469
6366,6.366
3061,3.061
2100,2.1
1547,1.547
10765,10.765
4524,4.524
7010,7.01
1116,1.116
1966,1.966
2931,2.931
17904,17.904
2310,2.31
1320,1.32
52831,52.831
11177,11.177
14557,14.557
9282,9.282
3392,3.392
2858,2.858
3119,3.119
8443,8.443
12796,12.796
12815,12.815
9312,9.312
32162,32.162
3094,3.094
1603,1.603
1417,1.417
4147,4.147
1925,1.925
4420,4.42
3311,3.311
5977,5.977
3663,3.663
16703,16.703
37910,37.91
16317,16.317
12651,12.651
5106,5.106
10004,10.004
1254,1.254
4923,4.923
2026,2.026
818,0.818
707,0.707
1315,1.315
4431,4.431
5743,5.743
13739,13.739
7681,7.681
21435,21.435
196,0.196
173,0.173
12651,12.651
6213,6.213
3932,3.932
3595,3.595
1652,1.652
11047,11.047
6226,6.226
38463,38.463
119775,119.775
916,0.916
2341,2.341
1417,1.417
8036,8.036
11232,11.232
10953,10.953
69622,69.622
6550,6.55
2667,2.667
5537,5.537
11413,11.413
7854,7.854
8657,8.657
12341,12.341
6010,6.01
4221,4.221
5350,5.35
22697,22.697
2159,2.159
1797,1.797
2117,2.117
5588,5.588
83634,83.634
2530,2.53
1875,1.875
3077,3.077
14392,14.392
1563,1.563
13048,13.048
3695,3.695
2755,2.755
7744,7.744
61863,61.863
4305,4.305
8212,8.212
2310,2.31
2361,2.361
572,0.572
5958,5.958
9761,9.761
179010,179.01
52729,52.729
4322,4.322
5281,5.281
4915,4.915
4727,4.727
7372,7.372
3184,3.184
2896,2.896
7354,7.354
4801,4.801
3222,3.222
1682,1.682
23625,23.625
17663,17.663
7973,7.973
3847,3.847
1818,1.818
1970,1.97
2560,2.56
5097,5.097
1992,1.992
1237,1.237
1338,1.338
2340,2.34
1852,1.852
9985,9.985
3783,3.783
3683,3.683
4689,4.689
1391,1.391
30662,30.662
2118,2.118
9196,9.196
4749,4.749
5418,5.418
2053,2.053
2954,2.954
10235,10.235
4711,4.711
1717,1.717
10093,10.093
32110,32.11
5921,5.921
7763,7.763
57916,57.916
4218,4.218
3884,3.884
8972,8.972
115265,115.265
37586,37.586
4297,4.297
2511,2.511
5286,5.286
3308,3.308
2874,2.874
2246,2.246
3814,3.814
2569,2.569
4071,4.071
8390,8.39
2158,2.158
1894,1.894
2205,2.205
5583,5.583
4705,4.705
4988,4.988
5012,5.012
3838,3.838
2333,2.333
11573,11.573
3808,3.808
2933,2.933
3024,3.024
3980,3.98
31561,31.561
23361,23.361
5623,5.623
8081,8.081
62352,62.352
4195,4.195
1649,1.649
1105,1.105
1286,1.286
2377,2.377
1388,1.388
19952,19.952
6850,6.85
27728,27.728
7661,7.661
7310,7.31
4202,4.202
144775,144.775
7909,7.909
9573,9.573
20686,20.686
69327,69.327
115835,115.835
4222,4.222
4079,4.079
3910,3.91
5365,5.365
3342,3.342
5444,5.444
3132,3.132
2345,2.345
4741,4.741
3581,3.581
2558,2.558
4240,4.24
2323,2.323
3020,3.02
2835,2.835
2843,2.843
1596,1.596
7414,7.414
1741,1.741
1564,1.564
1893,1.893
3480,3.48
1086,1.086
2725,2.725
3926,3.926
2124,2.124
2628,2.628
4342,4.342
2910,2.91
1557,1.557
1271,1.271
2026,2.026
7779,7.779
2618,2.618
4117,4.117
2527,2.527
2097,2.097
9105,9.105
111546,111.546
267521,267.521
9888,9.888
5251,5.251
1906,1.906
35413,35.413
8272,8.272
10761,10.761
7382,7.382
4360,4.36
3394,3.394
8066,8.066
64055,64.055
1784,1.784
5110,5.11
70477,70.477
4212,4.212
5552,5.552
2451,2.451
1046,1.046
16196,16.196
2077,2.077
3904,3.904
2801,2.801
2469,2.469
2787,2.787
1004,1.004
96387,96.387
344,0.344
3049,3.049
3518,3.518
1960,1.96
4096,4.096
1684,1.684
94973,94.973
7919,7.919
8615,8.615
7618,7.618
17472,17.472
2208,2.208
17753,17.753
13914,13.914
7945,7.945
6270,6.27
2266,2.266
1364,1.364
69396,69.396
673,0.673
3569,3.569
1152,1.152
1825,1.825
5714,5.714
1090,1.09
2473,2.473
714,0.714
2025,2.025
3369,3.369
6699,6.699
7577,7.577
3156,3.156
3077,3.077
3267,3.267
2920,2.92
3962,3.962
2061,2.061
78812,78.812
4508,4.508
14917,14.917
7920,7.92
4199,4.199
4689,4.689
4842,4.842
3916,3.916
5965,5.965
16686,16.686
3257,3.257
4822,4.822
3863,3.863
7430,7.43
8306,8.306
2254,2.254
1960,1.96
7652,7.652
11891,11.891
10890,10.89
21522,21.522
43453,43.453
14810,14.81
16375,16.375
5569,5.569
15689,15.689
62050,62.05
1644,1.644
3740,3.74
7345,7.345
72511,72.511
101022,101.022
152457,152.457
19458,19.458
81452,81.452
41554,41.554
10988,10.988
8790,8.79
11053,11.053
6673,6.673
4318,4.318
7682,7.682
1539,1.539
7411,7.411
2190,2.19
16285,16.285
2769,2.769
6064,6.064
3991,3.991
3529,3.529
6885,6.885
4903,4.903
2513,2.513
8537,8.537
2696,2.696
2183,2.183
2278,2.278
3501,3.501
5851,5.851
5423,5.423
1258,1.258
3737,3.737
48675,48.675
1421,1.421
223,0.223
20839,20.839
119508,119.508
108029,108.029
7900,7.9
4531,4.531
30035,30.035
5538,5.538
1435,1.435
2043,2.043
5436,5.436
2116,2.116
786,0.786
829,0.829
2755,2.755
883,0.883
124812,124.812
23055,23.055
6798,6.798
7140,7.14
2585,2.585
9272,9.272
1982,1.982
23439,23.439
78039,78.039
1991,1.991
5958,5.958
96619,96.619
330171,330.171
3672,3.672
2668,2.668
163,0.163
133,0.133
166,0.166
161,0.161
2314,2.314
151,0.151
152,0.152
148,0.148
3790,3.79
168,0.168
135,0.135
2130,2.13
128,0.128
128,0.128
148,0.148
174,0.174
3800,3.8
163,0.163
154,0.154
5505,5.505
154,0.154
145,0.145
156,0.156
2804,2.804
2613,2.613
150,0.15
124,0.124
149,0.149
4022,4.022
144,0.144
149,0.149
138,0.138
2041,2.041
140,0.14
136,0.136
1745,1.745
163,0.163
126,0.126
139,0.139
137,0.137
160,0.16
159,0.159
136,0.136
166,0.166
152,0.152
5817,5.817
152,0.152
130,0.13
119,0.119
2307,2.307
151,0.151
157,0.157
60302,60.302
2133,2.133
7361,7.361
2583,2.583
5858,5.858
4419,4.419
2775,2.775
18708,18.708
7481,7.481
2491,2.491
1880,1.88
1580,1.58
1541,1.541
2318,2.318
132254,132.254
84850,84.85
29818,29.818
40947,40.947
128045,128.045
13452,13.452
1696,1.696
1212,1.212
1617,1.617
2236,2.236
1056,1.056
2542,2.542
2250,2.25
3443,3.443
6934,6.934
46353,46.353
8368,8.368
4468,4.468
16860,16.86
4002,4.002
41288,41.288
3466,3.466
5718,5.718
7158,7.158
48673,48.673
8251,8.251
4404,4.404
3655,3.655
93881,93.881
198278,198.278
1250,1.25
2931,2.931
12489,12.489
1147,1.147
5257,5.257
2955,2.955
7200,7.2
2791,2.791
7009,7.009
43128,43.128
663,0.663
28057,28.057
4825,4.825
240,0.24
5580,5.58
29791,29.791
7490,7.49
6333,6.333
46226,46.226
6517,6.517
20433,20.433
5204,5.204
5468,5.468
7574,7.574
8008,8.008
13833,13.833
74630,74.63
401077,401.077
1837,1.837
1637,1.637
2894,2.894
5761,5.761
67493,67.493
6890,6.89
33263,33.263
38542,38.542
184761,184.761
58272,58.272
154055,154.055
3115,3.115
802,0.802
3099,3.099
7859,7.859
8467,8.467
2890,2.89
5800,5.8
4179,4.179
1532,1.532
7073,7.073
3162,3.162
3291,3.291
2375,2.375
1275,1.275
1272,1.272
167,0.167
1400,1.4
5948,5.948
3913,3.913
2304,2.304
2198,2.198
2870,2.87
22142,22.142
33904,33.904
