userid,boardSize,condition,boardType,solvedCorrect,validatedCorrect,solutionTime,validationTime,actionsSolution,actionsValidation,time,solutionCorrect,validationCorrect,solutionAndValidationCorrect,solutionTimeMinutes
acb11b17,10,pruned,easy,TRUE,TRUE,123160,71260,8,3,1.51192E+12,1,1,1,2.052666667
cce7504c,10,pruned,hard,FALSE,FALSE,536924,20668,87,0,1.51233E+12,0,0,0,8.948733333
b5b6dcbc,10,full,hard,FALSE,FALSE,547488,84539,38,0,1.5123E+12,0,0,0,9.1248
a0a4f682,10,verify,easy,FALSE,FALSE,54167,56160,3,0,1.51119E+12,0,0,0,0.902783333
a7bfd4fc,10,pruned,easy,FALSE,FALSE,176303,13287,18,0,1.5119E+12,0,0,0,2.938383333
eba732b3,6,pruned,hard,TRUE,TRUE,41283,32880,4,4,1.51232E+12,1,1,1,0.68805
fdc4f07b,10,pruned,easy,TRUE,TRUE,261677,32239,31,3,1.51119E+12,1,1,1,4.361283333
cff10c9a,10,full,easy,TRUE,TRUE,403856,39285,39,4,1.51192E+12,1,1,1,6.730933333
cccfd3ac,10,full,easy,FALSE,FALSE,375458,28715,85,0,1.5119E+12,0,0,0,6.257633333
95e69707,10,pruned,medium,TRUE,TRUE,151557,30694,17,3,1.51228E+12,1,1,1,2.52595
89bfff56,10,verify,hard,FALSE,FALSE,64751,114250,2,0,1.51192E+12,0,0,0,1.079183333
29bff31a,10,pruned,easy,TRUE,TRUE,81028,31478,4,3,1.51191E+12,1,1,1,1.350466667
55c68fc5,10,full,easy,FALSE,FALSE,570634,49865,86,0,1.51228E+12,0,0,0,9.510566667
e1e500d7,6,pruned,hard,TRUE,TRUE,46754,46269,16,12,1.5112E+12,1,1,1,0.779233333
7cf6845b,10,full,hard,FALSE,FALSE,464727,93656,37,0,1.51228E+12,0,0,0,7.74545
a5e116c5,10,full,medium,FALSE,FALSE,100614,36400,13,0,1.51192E+12,0,0,0,1.6769
91cfd7fb,6,full,hard,TRUE,TRUE,369127,48194,48,5,1.51191E+12,1,1,1,6.152116667
b8a11f60,6,full,easy,FALSE,FALSE,89413,118075,4,0,1.51192E+12,0,0,0,1.490216667
edf12206,10,full,hard,FALSE,FALSE,180198,35044,33,0,1.51192E+12,0,0,0,3.0033
9ee4fc82,10,verify,hard,TRUE,FALSE,119635,76495,11,4,1.51119E+12,1,0,0,1.993916667
88c3a456,10,verify,easy,TRUE,FALSE,136095,39249,16,2,1.51111E+12,1,0,0,2.26825
58e72ee8,6,pruned,easy,TRUE,TRUE,152035,48795,35,3,1.51232E+12,1,1,1,2.533916667
81bfd23a,6,verify,hard,FALSE,FALSE,37585,43599,12,0,1.5119E+12,0,0,0,0.626416667
23b6924e,10,full,easy,FALSE,FALSE,596781,36757,101,0,1.51228E+12,0,0,0,9.94635
b0d518a1,6,full,hard,FALSE,FALSE,555476,50949,68,0,1.5112E+12,0,0,0,9.257933333
20bfd7bd,6,full,hard,FALSE,FALSE,62567,49541,14,0,1.51191E+12,0,0,0,1.042783333
c3dfd812,10,pruned,easy,TRUE,TRUE,544670,33664,83,3,1.51191E+12,1,1,1,9.077833333
70bffd4d,10,full,easy,FALSE,FALSE,603564,122648,74,0,1.51192E+12,0,0,0,10.0594
acc6e9d4,10,full,easy,TRUE,TRUE,582681,94527,76,15,1.5123E+12,1,1,1,9.71135
f1e4f80f,10,verify,hard,FALSE,FALSE,106693,176209,13,0,1.51119E+12,0,0,0,1.778216667
f4c4f33c,10,pruned,hard,FALSE,FALSE,334442,117274,26,0,1.51119E+12,0,0,0,5.574033333
c7c6f18d,10,pruned,easy,TRUE,TRUE,134330,26488,13,3,1.51231E+12,1,1,1,2.238833333
43c516b5,10,pruned,medium,TRUE,TRUE,92325,15054,16,3,1.5112E+12,1,1,1,1.53875
d6b67ee1,6,full,easy,TRUE,TRUE,327699,37394,29,4,1.51228E+12,1,1,1,5.46165
dfa705b9,6,pruned,easy,TRUE,TRUE,474382,36477,65,3,1.51231E+12,1,1,1,7.906366667
bed50a1d,6,full,hard,TRUE,TRUE,189777,36932,28,5,1.5112E+12,1,1,1,3.16295
d9e4f7e5,10,pruned,hard,FALSE,FALSE,108645,36806,7,0,1.51119E+12,0,0,0,1.81075
daefd33a,6,pruned,hard,FALSE,FALSE,72349,25351,6,0,1.5119E+12,0,0,0,1.205816667
8df4f6e8,6,full,easy,TRUE,TRUE,275397,27064,39,5,1.51119E+12,1,1,1,4.58995
8fc76287,6,full,hard,TRUE,TRUE,368131,52215,69,10,1.51233E+12,1,1,1,6.135516667
7cc119e0,6,pruned,easy,TRUE,TRUE,104970,26381,32,3,1.51192E+12,1,1,1,1.7495
92a74a76,6,pruned,hard,FALSE,FALSE,297485,60877,41,0,1.51233E+12,0,0,0,4.958083333
92e10bf2,6,verify,hard,TRUE,TRUE,163524,37529,10,4,1.51192E+12,1,1,1,2.7254
74e11ee8,6,pruned,hard,TRUE,TRUE,99524,68562,2,4,1.51193E+12,1,1,1,1.658733333
9eefde0e,10,verify,medium,TRUE,TRUE,101274,49986,8,4,1.51191E+12,1,1,1,1.6879
16d516ad,6,pruned,hard,FALSE,FALSE,111798,27086,10,0,1.5112E+12,0,0,0,1.8633
9db10b00,6,pruned,easy,TRUE,TRUE,238700,61535,9,3,1.51192E+12,1,1,1,3.978333333
30b3a30f,10,verify,easy,TRUE,TRUE,184795,84059,12,3,1.51111E+12,1,1,1,3.079916667
8cb11747,10,verify,easy,FALSE,FALSE,155485,264849,41,0,1.51192E+12,0,0,0,2.591416667
25cfdeaf,6,pruned,hard,FALSE,FALSE,146641,28868,16,0,1.51191E+12,0,0,0,2.444016667
87b50908,6,full,hard,TRUE,FALSE,150994,126183,35,11,1.5112E+12,1,0,0,2.516566667
dcb510f3,10,verify,medium,TRUE,TRUE,68431,39120,20,7,1.5112E+12,1,1,1,1.140516667
9befd8ad,10,full,hard,FALSE,FALSE,229620,54926,18,0,1.51191E+12,0,0,0,3.827
e0a737b6,6,pruned,hard,FALSE,FALSE,73930,36268,8,0,1.51232E+12,0,0,0,1.232166667
1ccfff1c,6,verify,hard,FALSE,FALSE,161080,37785,8,0,1.51192E+12,0,0,0,2.684666667
72e6961c,10,full,medium,TRUE,TRUE,298968,50301,8,4,1.51228E+12,1,1,1,4.9828
c7fffe38,6,pruned,hard,FALSE,FALSE,290809,79185,30,0,1.51192E+12,0,0,0,4.846816667
87cfed83,10,full,hard,TRUE,FALSE,146140,48510,4,5,1.51191E+12,1,0,0,2.435666667
19b680e2,10,pruned,medium,TRUE,TRUE,115018,39075,16,3,1.51228E+12,1,1,1,1.916966667
d5aff345,10,pruned,easy,FALSE,FALSE,587698,97641,93,0,1.51191E+12,0,0,0,9.794966667
a4f74985,10,full,hard,FALSE,FALSE,241693,38118,38,0,1.51233E+12,0,0,0,4.028216667
19a105e3,6,pruned,easy,TRUE,TRUE,495231,44593,59,3,1.51192E+12,1,1,1,8.25385
a0f4f1bf,6,pruned,hard,TRUE,FALSE,391864,75650,47,5,1.51119E+12,1,0,0,6.531066667
9bf4f2c6,6,full,easy,FALSE,FALSE,131965,37215,5,0,1.51119E+12,0,0,0,2.199416667
e1b100ae,6,pruned,easy,TRUE,TRUE,301615,57858,47,3,1.51192E+12,1,1,1,5.026916667
8defd34b,10,pruned,easy,FALSE,FALSE,609880,72854,47,0,1.51191E+12,0,0,0,10.16466667
d6d500ab,6,full,easy,FALSE,FALSE,426683,59973,22,0,1.5112E+12,0,0,0,7.111383333
a6bff327,6,full,easy,FALSE,FALSE,608019,50202,31,0,1.51191E+12,0,0,0,10.13365
cec10cc8,10,pruned,easy,TRUE,TRUE,139476,44376,8,3,1.51192E+12,1,1,1,2.3246
4dc50d03,6,pruned,easy,FALSE,FALSE,583218,28100,52,0,1.5112E+12,0,0,0,9.7203
