board_size,condition,board_type,actionsSolution,solutionCorrect,solutionAndValidationCorrect,timeMinutes,PercentCorrect,solutionAndValidationCorrectPercent,board,type,timePerMoveMinutes,timePerMove,size
10,full,medium,76,1,1,9.71135,100,100,10 MC,MC,0.127780921,7.66685526,10
10,truncated,hard,26,0,0,5.574033333,0,0,10 HC,HC,0.214385897,12.86315382,10
10,truncated,medium,13,1,1,2.238833333,100,100,10 MC,MC,0.172217949,10.33307694,10
10,truncated,CV,16,1,1,1.53875,100,100,10 DC,DC,0.096171875,5.7703125,10
6,full,medium,29,1,1,5.46165,100,100,6 MC,MC,0.188332759,11.29996554,6
6,truncated,medium,65,1,1,7.906366667,100,100,6 MC,MC,0.12163641,7.2981846,6
6,full,hard,28,1,1,3.16295,100,100,6 HC,HC,0.1129625,6.77775,6
10,truncated,hard,7,0,0,1.81075,0,0,10 HC,HC,0.258678571,15.52071426,10
6,truncated,hard,6,0,0,1.205816667,0,0,6 HC,HC,0.200969445,12.0581667,6
6,full,medium,39,1,1,4.58995,100,100,6 MC,MC,0.117691026,7.06146156,6
6,full,hard,69,1,1,6.135516667,100,100,6 HC,HC,0.088920531,5.33523186,6
6,truncated,medium,32,1,1,1.7495,100,100,6 MC,MC,0.054671875,3.2803125,6
6,truncated,hard,41,0,0,4.958083333,0,0,6 HC,HC,0.120928862,7.25573172,6
6,truncated,hard,2,1,1,1.658733333,100,100,6 HC,HC,0.829366667,49.76200002,6
6,truncated,hard,10,0,0,1.8633,0,0,6 HC,HC,0.18633,11.1798,6
6,truncated,medium,9,1,1,3.978333333,100,100,6 MC,MC,0.442037037,26.52222222,6
6,truncated,hard,16,0,0,2.444016667,0,0,6 HC,HC,0.152751042,9.16506252,6
6,full,hard,35,1,0,2.516566667,100,0,6 HC,HC,0.071901905,4.3141143,6
10,full,hard,18,0,0,3.827,0,0,10 HC,HC,0.212611111,12.75666666,10
6,truncated,hard,8,0,0,1.232166667,0,0,6 HC,HC,0.154020833,9.24124998,6
10,full,CV,8,1,1,4.9828,100,100,10 DC,DC,0.62285,37.371,10
6,truncated,hard,30,0,0,4.846816667,0,0,6 HC,HC,0.161560556,9.69363336,6
10,full,hard,4,1,0,2.435666667,100,0,10 HC,HC,0.608916667,36.53500002,10
10,truncated,CV,16,1,1,1.916966667,100,100,10 DC,DC,0.119810417,7.18862502,10
10,truncated,medium,93,0,0,9.794966667,0,0,10 MC,MC,0.105322222,6.31933332,10
10,full,hard,38,0,0,4.028216667,0,0,10 HC,HC,0.106005702,6.36034212,10
6,truncated,medium,59,1,1,8.25385,100,100,6 MC,MC,0.139895763,8.39374578,6
6,truncated,hard,47,1,0,6.531066667,100,0,6 HC,HC,0.138958865,8.3375319,6
6,full,medium,5,0,0,2.199416667,0,0,6 MC,MC,0.439883333,26.39299998,6
6,truncated,medium,47,1,1,5.026916667,100,100,6 MC,MC,0.106955674,6.41734044,6
10,truncated,medium,47,0,0,10.16466667,0,0,10 MC,MC,0.216269504,12.97617024,10
6,full,medium,22,0,0,7.111383333,0,0,6 MC,MC,0.323244697,19.39468182,6
6,full,medium,31,0,0,10.13365,0,0,6 MC,MC,0.326891935,19.6135161,6
10,truncated,medium,8,1,1,2.3246,100,100,10 MC,MC,0.290575,17.4345,10
6,truncated,medium,52,0,0,9.7203,0,0,6 MC,MC,0.186928846,11.21573076,6
6,truncated,hard,8,0,0,1.412866667,0,0,6 HC,HC,0.176608333,10.59649998,6
10,full,medium,74,0,0,4.411783333,0,0,10 MC,MC,0.059618694,3.57712164,10
