,size,type,condition,board,heuristic_name,moves,userid,board_size,board_type,board_name,solved,action,solutionAndValidationCorrectPercent,solutionAndValidationCorrect,solutionCorrect,actionsSolution
198,10,HC,full,10 HC full,interaction,3243,15e6cf5b,10,hard,10_hard_full,wrong,1,0,0,0,1
199,10,HC,full,10 HC full,interaction,3243,18a4334a,10,hard,10_hard_full,solvedCorrect,56,0,0,1,56
200,10,HC,full,10 HC full,interaction,3243,19d58478,10,hard,10_hard_full,solvedCorrect,3,0,0,1,3
201,10,HC,full,10 HC full,interaction,3243,1cdbeb89,10,hard,10_hard_full,wrong,1,0,0,0,1
202,10,HC,full,10 HC full,interaction,3243,1df6940e,10,hard,10_hard_full,validatedCorrect,9,100,1,1,9
203,10,HC,full,10 HC full,interaction,3243,1ff4f828,10,hard,10_hard_full,wrong,20,0,0,0,20
204,10,HC,full,10 HC full,interaction,3243,20e1bd34,10,hard,10_hard_full,validatedCorrect,19,100,1,1,19
205,10,HC,full,10 HC full,interaction,3243,21abc061,10,hard,10_hard_full,wrong,35,0,0,0,35
206,10,HC,full,10 HC full,interaction,3243,23dbc11c,10,hard,10_hard_full,wrong,18,0,0,0,18
207,10,HC,full,10 HC full,interaction,3243,25f6ce98,10,hard,10_hard_full,wrong,17,0,0,0,17
208,10,HC,full,10 HC full,interaction,3243,26dbf473,10,hard,10_hard_full,wrong,1,0,0,0,1
209,10,HC,full,10 HC full,interaction,3243,26e154ac,10,hard,10_hard_full,validatedCorrect,66,100,1,1,66
210,10,HC,full,10 HC full,interaction,3243,28e67c08,10,hard,10_hard_full,validatedCorrect,9,100,1,1,9
211,10,HC,full,10 HC full,interaction,3243,2abedf01,10,hard,10_hard_full,solvedCorrect,45,0,0,1,45
212,10,HC,full,10 HC full,interaction,3243,2bd232b2,10,hard,10_hard_full,wrong,8,0,0,0,8
213,10,HC,full,10 HC full,interaction,3243,2bd6cdfa,10,hard,10_hard_full,wrong,1,0,0,0,1
214,10,HC,full,10 HC full,interaction,3243,2fb4f99a,10,hard,10_hard_full,validatedCorrect,11,100,1,1,11
215,10,HC,full,10 HC full,interaction,3243,32e14a26,10,hard,10_hard_full,wrong,22,0,0,0,22
216,10,HC,full,10 HC full,interaction,3243,34b12db9,10,hard,10_hard_full,solvedCorrect,15,0,0,1,15
217,10,HC,full,10 HC full,interaction,3243,3de2a23d,10,hard,10_hard_full,validatedCorrect,23,100,1,1,23
218,10,HC,full,10 HC full,interaction,3243,45b146b0,10,hard,10_hard_full,wrong,31,0,0,0,31
219,10,HC,full,10 HC full,interaction,3243,48e6dc30,10,hard,10_hard_full,wrong,5,0,0,0,5
220,10,HC,full,10 HC full,interaction,3243,4bb243a6,10,hard,10_hard_full,solvedCorrect,33,0,0,1,33
221,10,HC,full,10 HC full,interaction,3243,4de6cf95,10,hard,10_hard_full,wrong,7,0,0,0,7
222,10,HC,full,10 HC full,interaction,3243,57aedfe7,10,hard,10_hard_full,wrong,7,0,0,0,7
223,10,HC,full,10 HC full,interaction,3243,64e6ee98,10,hard,10_hard_full,wrong,1,0,0,0,1
224,10,HC,full,10 HC full,interaction,3243,65f68460,10,hard,10_hard_full,validatedCorrect,12,100,1,1,12
225,10,HC,full,10 HC full,interaction,3243,67e6ce01,10,hard,10_hard_full,solvedCorrect,103,0,0,1,103
226,10,HC,full,10 HC full,interaction,3243,68a1b7d8,10,hard,10_hard_full,wrong,44,0,0,0,44
227,10,HC,full,10 HC full,interaction,3243,72c1b0e6,10,hard,10_hard_full,validatedCorrect,71,100,1,1,71
228,10,HC,full,10 HC full,interaction,3243,72d587f7,10,hard,10_hard_full,wrong,11,0,0,0,11
229,10,HC,full,10 HC full,interaction,3243,75ffd9e8,10,hard,10_hard_full,wrong,28,0,0,0,28
230,10,HC,full,10 HC full,interaction,3243,7cf6845b,10,hard,10_hard_full,wrong,36,0,0,0,36
231,10,HC,full,10 HC full,interaction,3243,84dbf4f9,10,hard,10_hard_full,validatedCorrect,16,100,1,1,16
