path,length,count,board
"[[3, 2, 1], [7, 3, 2]]",2,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [5, 5, 1]]",3,6,10_easy_full
"[[5, 4, 1], [8, 7, 2]]",2,1,10_easy_full
"[[9, 4, 1], [6, 6, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [0, 5, 1]]",3,4,10_easy_full
"[[8, 0, 1], [4, 4, 2]]",2,1,10_easy_full
"[[5, 1, 1], [6, 5, 2]]",2,1,10_easy_full
"[[5, 8, 1], [0, 5, 2]]",2,1,10_easy_full
"[[7, 9, 1], [6, 8, 2]]",2,1,10_easy_full
"[[6, 5, 1], [5, 9, 2]]",2,1,10_easy_full
"[[4, 2, 1], [5, 5, 2]]",2,1,10_easy_full
"[[6, 5, 1], [1, 1, 2], [4, 8, 1]]",3,1,10_easy_full
"[[7, 2, 1], [9, 4, 2]]",2,14,10_easy_full
"[[6, 5, 1], [9, 2, 2]]",2,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [1, 8, 1]]",3,14,10_easy_full
"[[8, 7, 1], [3, 0, 2]]",2,2,10_easy_full
"[[6, 5, 1], [5, 5, 2], [7, 4, 1]]",3,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [8, 7, 1]]",3,6,10_easy_full
"[[8, 3, 1], [9, 2, 2]]",2,1,10_easy_full
"[[8, 3, 1], [5, 5, 2]]",2,8,10_easy_full
"[[1, 8, 1], [1, 9, 2], [6, 3, 1]]",3,4,10_easy_full
"[[6, 4, 1], [9, 3, 2]]",2,1,10_easy_full
"[[5, 8, 1], [5, 5, 2], [6, 4, 1]]",3,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [7, 4, 1]]",3,3,10_easy_full
"[[1, 8, 1], [1, 9, 2], [7, 5, 1]]",3,3,10_easy_full
"[[8, 7, 1], [6, 7, 2]]",2,2,10_easy_full
"[[6, 8, 1], [5, 4, 2]]",2,2,10_easy_full
"[[6, 4, 1], [5, 6, 2]]",2,2,10_easy_full
"[[6, 7, 1], [7, 4, 2]]",2,9,10_easy_full
"[[7, 5, 1], [6, 7, 2]]",2,1,10_easy_full
"[[5, 7, 1], [5, 5, 2]]",2,1,10_easy_full
"[[5, 8, 1], [5, 2, 2]]",2,1,10_easy_full
"[[2, 9, 1], [9, 3, 2]]",2,2,10_easy_full
"[[1, 8, 1], [1, 9, 2]]",2,160,10_easy_full
"[[6, 8, 1], [8, 4, 2]]",2,1,10_easy_full
"[[3, 2, 1], [4, 4, 2]]",2,11,10_easy_full
"[[4, 8, 1], [5, 5, 2]]",2,6,10_easy_full
"[[5, 8, 1], [6, 7, 2]]",2,1,10_easy_full
"[[1, 1, 1], [6, 4, 2]]",2,1,10_easy_full
"[[8, 5, 1], [1, 9, 2], [0, 5, 1]]",3,1,10_easy_full
"[[8, 5, 1], [9, 8, 2]]",2,42,10_easy_full
"[[8, 5, 1], [6, 8, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [5, 7, 1]]",3,1,10_easy_full
"[[4, 4, 1], [7, 2, 2]]",2,2,10_easy_full
"[[5, 8, 1], [9, 8, 2], [9, 4, 1], [9, 9, 2]]",4,1,10_easy_full
"[[7, 3, 1], [9, 4, 2]]",2,9,10_easy_full
"[[6, 5, 1], [2, 1, 2]]",2,1,10_easy_full
"[[2, 9, 1], [7, 7, 2]]",2,3,10_easy_full
"[[6, 7, 1], [9, 4, 2]]",2,35,10_easy_full
"[[7, 2, 1], [5, 5, 2], [9, 4, 1]]",3,2,10_easy_full
"[[2, 9, 1], [7, 7, 2], [1, 9, 1]]",3,1,10_easy_full
"[[5, 5, 1], [9, 8, 2]]",2,34,10_easy_full
"[[1, 8, 1], [1, 9, 2], [7, 2, 1]]",3,4,10_easy_full
"[[7, 5, 1], [3, 2, 2]]",2,1,10_easy_full
"[[9, 9, 1], [0, 7, 2]]",2,1,10_easy_full
"[[4, 4, 1], [8, 4, 2]]",2,2,10_easy_full
"[[8, 7, 1], [5, 5, 2]]",2,7,10_easy_full
"[[1, 8, 1], [1, 9, 2], [4, 1, 1]]",3,2,10_easy_full
"[[0, 5, 1], [4, 9, 2], [2, 1, 1]]",3,1,10_easy_full
"[[8, 9, 1], [4, 4, 2]]",2,4,10_easy_full
"[[0, 5, 1], [4, 9, 2], [1, 1, 1]]",3,1,10_easy_full
"[[6, 2, 1], [7, 3, 2]]",2,1,10_easy_full
"[[2, 8, 1], [6, 3, 2], [5, 7, 1]]",3,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [6, 5, 1]]",3,11,10_easy_full
"[[6, 3, 1], [9, 3, 2]]",2,2,10_easy_full
"[[8, 2, 1], [9, 4, 2]]",2,15,10_easy_full
"[[4, 4, 1], [5, 4, 2]]",2,1,10_easy_full
"[[2, 9, 1], [9, 9, 2]]",2,1,10_easy_full
