run,chosen_moves,k,num_nodes_rollouts,board,num_nodes,correct
4,30,None,7396,10_easy_pruned,5000,0
5,60,None,7408,10_easy_pruned,5000,0
6,60,None,7430,10_easy_pruned,5000,0
7,70,None,7418,10_easy_pruned,5001,0
8,20,None,7394,10_easy_pruned,5000,1
9,30,None,7381,10_easy_pruned,5000,0
10,55,None,7389,10_easy_pruned,5000,0
11,55,None,7393,10_easy_pruned,5001,0
12,60,None,7386,10_easy_pruned,5000,0
13,60,None,7436,10_easy_pruned,5001,0
14,60,None,7388,10_easy_pruned,5000,0
15,10,None,7377,10_easy_pruned,5000,0
16,66,None,7408,10_easy_pruned,5001,0
17,10,None,7370,10_easy_pruned,5000,0
18,60,None,7426,10_easy_pruned,5001,0
19,30,None,7394,10_easy_pruned,5000,0
20,20,None,7416,10_easy_pruned,5001,1
21,66,None,7400,10_easy_pruned,5000,0
22,30,None,7396,10_easy_pruned,5000,0
23,30,None,7425,10_easy_pruned,5000,0
24,70,None,7426,10_easy_pruned,5001,0
25,70,None,7404,10_easy_pruned,5000,0
26,60,None,7416,10_easy_pruned,5000,0
27,10,None,7374,10_easy_pruned,5001,0
28,55,None,7395,10_easy_pruned,5001,0
29,60,None,7413,10_easy_pruned,5001,0
30,55,None,7388,10_easy_pruned,5001,0
31,70,None,7387,10_easy_pruned,5001,0
32,30,None,7410,10_easy_pruned,5001,0
33,20,None,7389,10_easy_pruned,5001,1
34,66,None,7401,10_easy_pruned,5001,0
35,60,None,7434,10_easy_pruned,5000,0
36,66,None,7419,10_easy_pruned,5001,0
37,30,None,7402,10_easy_pruned,5000,0
38,70,None,7383,10_easy_pruned,5001,0
39,30,None,7359,10_easy_pruned,5000,0
40,30,None,7402,10_easy_pruned,5001,0
41,70,None,7406,10_easy_pruned,5001,0
42,30,None,7398,10_easy_pruned,5001,0
43,60,None,7404,10_easy_pruned,5001,0
44,60,None,7390,10_easy_pruned,5001,0
45,70,None,7389,10_easy_pruned,5000,0
46,70,None,7374,10_easy_pruned,5000,0
47,60,None,7404,10_easy_pruned,5001,0
48,10,None,7423,10_easy_pruned,5000,0
49,60,None,7403,10_easy_pruned,5000,0
50,60,None,7417,10_easy_pruned,5000,0
51,30,None,7397,10_easy_pruned,5000,0
52,66,None,7424,10_easy_pruned,5000,0
53,66,None,7397,10_easy_pruned,5001,0
54,30,None,7398,10_easy_pruned,5000,0
55,60,None,7387,10_easy_pruned,5000,0
56,60,None,7444,10_easy_pruned,5000,0
57,70,None,7412,10_easy_pruned,5000,0
58,60,None,7421,10_easy_pruned,5000,0
59,60,None,7395,10_easy_pruned,5001,0
60,60,None,7415,10_easy_pruned,5000,0
61,55,None,7397,10_easy_pruned,5001,0
62,60,None,7415,10_easy_pruned,5001,0
63,30,None,7405,10_easy_pruned,5001,0
64,60,None,7401,10_easy_pruned,5001,0
65,70,None,7410,10_easy_pruned,5001,0
66,20,None,7380,10_easy_pruned,5001,1
67,60,None,7390,10_easy_pruned,5001,0
68,66,None,7378,10_easy_pruned,5001,0
69,55,None,7400,10_easy_pruned,5001,0
70,55,None,7408,10_easy_pruned,5001,0
71,10,None,7408,10_easy_pruned,5001,0
72,66,None,7406,10_easy_pruned,5001,0
73,60,None,7407,10_easy_pruned,5001,0
74,60,None,7416,10_easy_pruned,5001,0
75,60,None,7425,10_easy_pruned,5001,0
76,66,None,7427,10_easy_pruned,5001,0
77,60,None,7416,10_easy_pruned,5001,0
78,66,None,7406,10_easy_pruned,5000,0
79,60,None,7430,10_easy_pruned,5001,0
80,60,None,7417,10_easy_pruned,5001,0
81,66,None,7395,10_easy_pruned,5000,0
82,30,None,7390,10_easy_pruned,5001,0
83,60,None,7385,10_easy_pruned,5001,0
84,60,None,7393,10_easy_pruned,5001,0
85,60,None,7397,10_easy_pruned,5001,0
86,10,None,7410,10_easy_pruned,5001,0
87,66,None,7370,10_easy_pruned,5001,0
88,10,None,7397,10_easy_pruned,5001,0
89,60,None,7398,10_easy_pruned,5001,0
90,20,None,7409,10_easy_pruned,5000,1
91,60,None,7389,10_easy_pruned,5001,0
