action,delta_score
reset,2.416848542
reset,0.254485536
reset,-2.25
reset,-0.28398147
reset,0.222222222
reset,-1.5
reset,3.305345302
reset,-2.501111111
reset,0
reset,-1.628657871
reset,-10003.23704
reset,0.714671202
reset,-10003.59417
reset,-10003.23704
reset,-10000
reset,0
reset,-2.501111111
reset,-19.38888889
reset,-2.501111111
reset,0
reset,12.36164349
reset,9993.800027
reset,0
reset,0
reset,-3.77169642
reset,-1.541039763
reset,2.669287123
reset,0.61164966
reset,-10004.7886
reset,-10005.74844
reset,0.61164966
reset,9997.374717
reset,9989.940005
reset,-1.628657871
reset,0.007908163
reset,-0.861111111
reset,2.430855539
reset,-1.240031162
reset,2.557298266
reset,-10001.26741
reset,0
reset,-2.25
reset,9980.388889
reset,-1.30020643
reset,-3.237042695
reset,0
reset,-1.001893424
reset,0
reset,-2.25
reset,-1.001893424
reset,-19.38888889
reset,0
reset,-1.900301393
reset,0
reset,0
reset,-0.364962196
reset,-1.30020643
reset,0
reset,3.03861678
reset,0.026927438
reset,0.61164966
reset,-10005.74844
reset,-0.515931584
reset,-3.111111111
reset,3.03861678
reset,-2.632342209
reset,15.67545395
reset,3.159722222
reset,4.255075575
reset,1.3125
reset,-0.867171202
reset,-10000.98343
reset,-10001.98298
reset,-0.138333333
reset,-10002.81306
reset,10011.42787
reset,-0.345387366
reset,-3.953890264
reset,13.98173231
reset,0
reset,0
reset,9980.388889
reset,9980.388889
reset,0
reset,0.722404098
reset,0
reset,0
reset,0
reset,0
reset,0
reset,9969.785513
reset,-14.04745747
reset,14.77089002
reset,-12.82644793
reset,10.85578231
reset,-1.567593554
reset,5.951814059
reset,-1.214166667
reset,-1.297136719
reset,12.49344292
reset,-1.317527405
reset,-1.493735828
reset,0
reset,9998.479167
reset,-1.18952381
reset,-4.632239699
reset,20000
reset,-12.82644793
reset,0
reset,-1.411460237
reset,-1.773594104
reset,9976.071066
reset,51.45600199
reset,-26.43268989
reset,9.817935569
reset,8.156485764
reset,9996.435037
reset,-14.04745747
reset,0
reset,-10003.63618
reset,21.01576105
reset,4.563185941
reset,-16.43378494
reset,-10000
reset,-7.488889359
reset,-2.217413557
reset,9991.185123
reset,-14.04745747
reset,2.320806398
reset,-2.804495934
reset,2.222194817
reset,-1.467506608
reset,-0.646214091
reset,1.612006803
reset,-12.21191939
reset,9997.308906
reset,-4.712322821
reset,-1.411460237
reset,-1.773594104
reset,-2.657226449
reset,-10038.74747
reset,10.63102514
reset,0
reset,-0.649722222
reset,-10019.3556
reset,9978.060803
reset,0
reset,9996.79626
reset,-0.118974862
reset,9991.185123
reset,1.141428571
reset,-7.657166472
reset,-10.11203894
reset,0
reset,0
reset,9984.158983
reset,0
reset,0
reset,0
reset,-10006.18312
reset,13.30100246
reset,14.33328137
reset,-10003.31983
reset,9991.185123
reset,13.84757561
reset,-9999.388889
reset,-10015.84102
reset,9984.158983
reset,14.74285339
reset,9955.945356
reset,-10015.84102
reset,-10015.84102
reset,-10000.25
reset,9970.549159
reset,9970.549159
reset,9970.549159
reset,9984.873339
reset,-5.806730937
reset,-5.675596647
reset,2.004863006
reset,9.155579204
reset,9992.833723
reset,-16.85553523
reset,0
reset,0
reset,0
reset,9992.596583
reset,0
reset,23.31279572
reset,9987.005333
reset,8.234894169
reset,3.617934629
reset,-0.877318594
reset,10004.83694
reset,0
reset,0
reset,23.31279572
reset,9986.353454
reset,-10007.19634
reset,31.41222034
reset,-7.320353352
reset,4.831668545
reset,0
reset,-4.014242711
reset,-6.477963444
reset,0
reset,9969.785513
reset,0
reset,0
reset,0
reset,-3.780784191
reset,9974.581399
reset,0
reset,-10002.18622
reset,-26.43268989
reset,3.34474255
reset,-10000
reset,26.01031699
reset,-10000
reset,3.34474255
reset,0
reset,0
reset,-4.308662601
reset,0
reset,-2.836944444
reset,0
reset,9966.620231
reset,0
reset,9969.785513
reset,0
reset,-28.2838903
reset,0
reset,-25.18802909
reset,0
reset,0
reset,0
reset,9969.785513
reset,0
reset,-16.94739984
reset,-2.360607046
reset,-9.480863556
reset,-9.480863556
reset,-10008.92605
reset,-10.63662886
reset,0
reset,9966.620231
reset,0
reset,0
reset,1.298611111
reset,2.949688209
reset,33.79720236
reset,0
reset,9974.581399
reset,9969.785513
reset,4.672273243
reset,0
reset,0
reset,-6.240470052
reset,-9992.472489
reset,9966.620231
reset,-8.470308001
reset,3.012363946
reset,-11.48267195
reset,9971.971762
reset,0
reset,0
reset,0
reset,2.766978458
reset,21.01576105
reset,7.753063573
reset,4.483742436
reset,9969.785513
reset,12.4932275
reset,9969.785513
reset,15.5533116
reset,-26.43268989
reset,-22.1383645
reset,29.31877031
reset,-10001.00703
reset,-39.48639503
reset,0
reset,0
reset,0
reset,-9986.802222
reset,9974.581399
reset,0
reset,3.434972125
reset,0
reset,0
reset,3.34474255
reset,-26.43268989
reset,36.59447232
reset,3.012363946
reset,36.59447232
reset,3.503220424
reset,-9.480863556
reset,-4.014242711
reset,0.156632653
reset,4.932953515
reset,37.49764786
reset,21.01576105
reset,-28.5200425
reset,9982.604205
reset,-3.814955588
reset,-1.97946239
reset,0
reset,0
