,move_limit,noise,k,board,tradeoff
647,100,2.5,5,6_easy_pruned,1
648,100,2.5,5,6_hard_full,0
649,100,2.5,5,6_hard_pruned,0
650,100,2.5,10,10_easy_full,0
651,100,2.5,10,10_easy_pruned,1
652,100,2.5,10,10_hard_full,0
653,100,2.5,10,10_hard_pruned,0
654,100,2.5,10,10_medium_full,1
655,100,2.5,10,10_medium_pruned,0
656,100,2.5,10,6_easy_full,0
657,100,2.5,10,6_easy_pruned,1
658,100,2.5,10,6_hard_full,0
659,100,2.5,10,6_hard_pruned,0
